wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
400,0.7481,0.9761,0.9702,0.9801,0.2535,0.6957,0.9100,0.1526,0.1114
401,0.7506,0.9764,0.9709,0.9806,0.2561,0.6964,0.9110,0.1547,0.1134
402,0.7532,0.9766,0.9716,0.9811,0.2587,0.6971,0.9120,0.1567,0.1153
403,0.7558,0.9769,0.9723,0.9816,0.2613,0.6978,0.9130,0.1589,0.1173
404,0.7584,0.9771,0.9730,0.9821,0.2639,0.6985,0.9140,0.1610,0.1193
405,0.7610,0.9773,0.9737,0.9826,0.2665,0.6992,0.9150,0.1631,0.1213
406,0.7636,0.9776,0.9744,0.9831,0.2692,0.6999,0.9160,0.1653,0.1234
407,0.7662,0.9778,0.9751,0.9836,0.2719,0.7006,0.9170,0.1675,0.1255
408,0.7689,0.9780,0.9757,0.9841,0.2745,0.7013,0.9180,0.1697,0.1276
409,0.7715,0.9783,0.9764,0.9846,0.2772,0.7021,0.9190,0.1720,0.1298
410,0.7741,0.9785,0.9771,0.9851,0.2800,0.7028,0.9200,0.1742,0.1320
411,0.7768,0.9788,0.9778,0.9856,0.2827,0.7035,0.9210,0.1765,0.1342
412,0.7794,0.9790,0.9785,0.9860,0.2854,0.7042,0.9220,0.1788,0.1364
413,0.7821,0.9792,0.9792,0.9865,0.2882,0.7049,0.9230,0.1811,0.1387
414,0.7847,0.9795,0.9799,0.9870,0.2910,0.7056,0.9240,0.1835,0.1410
415,0.7874,0.9797,0.9806,0.9875,0.2938,0.7063,0.9250,0.1859,0.1434
416,0.7901,0.9799,0.9813,0.9880,0.2966,0.7070,0.9260,0.1883,0.1458
417,0.7928,0.9802,0.9820,0.9885,0.2994,0.7077,0.9270,0.1907,0.1482
418,0.7955,0.9804,0.9827,0.9890,0.3022,0.7084,0.9280,0.1931,0.1506
419,0.7982,0.9807,0.9834,0.9895,0.3051,0.7092,0.9290,0.1956,0.1531
420,0.8009,0.9809,0.9841,0.9900,0.3080,0.7099,0.9300,0.1981,0.1556
421,0.8036,0.9811,0.9842,0.9901,0.3108,0.7099,0.9295,0.1998,0.1576
422,0.8063,0.9814,0.9843,0.9902,0.3137,0.7099,0.9290,0.2016,0.1596
423,0.8090,0.9816,0.9845,0.9902,0.3166,0.7099,0.9285,0.2034,0.1616
424,0.8118,0.9818,0.9846,0.9903,0.3196,0.7099,0.9280,0.2052,0.1636
425,0.8145,0.9821,0.9847,0.9904,0.3225,0.7099,0.9275,0.2071,0.1656
426,0.8166,0.9823,0.9849,0.9904,0.3254,0.7099,0.9270,0.2089,0.1676
427,0.8186,0.9826,0.9850,0.9905,0.3284,0.7099,0.9265,0.2107,0.1695
428,0.8207,0.9828,0.9851,0.9906,0.3314,0.7099,0.9260,0.2126,0.1714
429,0.8228,0.9830,0.9853,0.9906,0.3344,0.7099,0.9255,0.2144,0.1734
430,0.8248,0.9833,0.9854,0.9907,0.3374,0.7099,0.9250,0.2163,0.1754
431,0.8269,0.9835,0.9855,0.9908,0.3404,0.7099,0.9245,0.2181,0.1774
432,0.8290,0.9837,0.9857,0.9908,0.3434,0.7099,0.9240,0.2200,0.1794
433,0.8311,0.9840,0.9858,0.9909,0.3465,0.7099,0.9235,0.2219,0.1814
434,0.8332,0.9842,0.9859,0.9910,0.3495,0.7099,0.9230,0.2237,0.1835
435,0.8353,0.9845,0.9860,0.9910,0.3526,0.7099,0.9225,0.2256,0.1855
436,0.8374,0.9847,0.9862,0.9911,0.3557,0.7099,0.9220,0.2275,0.1876
437,0.8395,0.9849,0.9863,0.9912,0.3587,0.7099,0.9215,0.2294,0.1897
438,0.8416,0.9852,0.9864,0.9912,0.3619,0.7099,0.9210,0.2313,0.1918
439,0.8437,0.9854,0.9866,0.9913,0.3650,0.7099,0.9205,0.2332,0.1939
440,0.8458,0.9857,0.9867,0.9914,0.3681,0.7099,0.9200,0.2351,0.1960
441,0.8479,0.9859,0.9868,0.9914,0.3712,0.7099,0.9195,0.2371,0.1982
442,0.8501,0.9861,0.9870,0.9915,0.3744,0.7099,0.9190,0.2390,0.2003
443,0.8522,0.9864,0.9871,0.9916,0.3776,0.7099,0.9185,0.2409,0.2025
444,0.8543,0.9866,0.9872,0.9916,0.3807,0.7099,0.9180,0.2429,0.2047
445,0.8564,0.9868,0.9874,0.9917,0.3839,0.7099,0.9175,0.2448,0.2069
446,0.8586,0.9871,0.9875,0.9918,0.3871,0.7099,0.9170,0.2468,0.2091
447,0.8607,0.9873,0.9876,0.9918,0.3903,0.7099,0.9165,0.2487,0.2114
448,0.8629,0.9876,0.9878,0.9919,0.3935,0.7099,0.9160,0.2507,0.2136
449,0.8650,0.9878,0.9879,0.9919,0.3968,0.7099,0.9155,0.2527,0.2159
450,0.8672,0.9880,0.9880,0.9920,0.4000,0.7099,0.9150,0.2547,0.2182
451,0.8691,0.9881,0.9881,0.9921,0.4032,0.7099,0.9145,0.2566,0.2203
452,0.8709,0.9882,0.9881,0.9921,0.4065,0.7099,0.9140,0.2586,0.2225
453,0.8728,0.9883,0.9882,0.9921,0.4098,0.7099,0.9135,0.2605,0.2247
454,0.8747,0.9884,0.9882,0.9922,0.4131,0.7099,0.9130,0.2625,0.2269
455,0.8766,0.9884,0.9882,0.9922,0.4163,0.7099,0.9125,0.2644,0.2291
456,0.8784,0.9885,0.9883,0.9923,0.4196,0.7099,0.9120,0.2664,0.2313
457,0.8803,0.9886,0.9883,0.9923,0.4229,0.7099,0.9115,0.2684,0.2336
458,0.8822,0.9887,0.9884,0.9923,0.4263,0.7099,0.9110,0.2704,0.2358
459,0.8841,0.9888,0.9884,0.9924,0.4296,0.7099,0.9105,0.2723,0.2381
460,0.8860,0.9888,0.9884,0.9924,0.4329,0.7099,0.9100,0.2743,0.2403
461,0.8879,0.9889,0.9885,0.9925,0.4362,0.7099,0.9095,0.2763,0.2426
462,0.8898,0.9890,0.9885,0.9925,0.4396,0.7099,0.9090,0.2783,0.2449
463,0.8917,0.9891,0.9886,0.9925,0.4430,0.7099,0.9085,0.2803,0.2472
464,0.8936,0.9891,0.9886,0.9926,0.4463,0.7099,0.9080,0.2823,0.2495
465,0.8956,0.9892,0.9886,0.9926,0.4497,0.7099,0.9075,0.2843,0.2518
466,0.8975,0.9893,0.9887,0.9927,0.4531,0.7099,0.9070,0.2863,0.2542
467,0.8994,0.9894,0.9887,0.9927,0.4564,0.7099,0.9065,0.2883,0.2565
468,0.9013,0.9895,0.9888,0.9927,0.4598,0.7099,0.9060,0.2903,0.2589
469,0.9032,0.9895,0.9888,0.9928,0.4632,0.7099,0.9055,0.2923,0.2612
