# agn/liner  |  Francis et al. 1991, ApJ 373, 465 (qso composite) + spextra AGN set
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  1.73658e-15
  1240.000  1.45081e-15
  1245.000  1.18930e-15
  1250.000  9.14578e-16
  1255.000  0.00000e+00
  1260.000  0.00000e+00
  1265.000  7.55336e-16
  1270.000  3.42799e-16
  1275.000  3.59204e-16
  1280.000  1.05704e-15
  1285.000  1.52699e-15
  1290.000  6.20030e-16
  1295.000  6.83461e-16
  1300.000  9.83676e-16
  1305.000  4.85252e-16
  1310.000  5.39075e-16
  1315.000  2.57107e-16
  1320.000  4.25318e-16
  1325.000  3.16554e-16
  1330.000  4.58472e-16
  1335.000  5.06451e-16
  1340.000  7.43754e-16
  1345.000  4.11359e-16
  1350.000  5.45853e-16
  1355.000  1.17215e-15
  1360.000  8.52817e-16
  1365.000  3.38855e-16
  1370.000  4.76350e-16
  1375.000  1.40606e-16
  1380.000  6.43349e-16
  1385.000  3.60658e-16
  1390.000  6.88440e-16
  1395.000  1.19017e-15
  1400.000  1.13368e-15
  1405.000  1.20245e-15
  1410.000  3.86608e-16
  1415.000  3.87920e-16
  1420.000  7.12727e-16
  1425.000  5.60754e-16
  1430.000  4.71177e-16
  1435.000  4.99195e-16
  1440.000  5.20336e-16
  1445.000  6.96003e-16
  1450.000  3.52078e-16
  1455.000  3.48268e-16
  1460.000  4.70039e-16
  1465.000  2.86795e-16
  1470.000  7.98884e-16
  1475.000  9.44777e-16
  1480.000  9.42324e-16
  1485.000  8.82644e-16
  1490.000  9.54889e-16
  1495.000  1.73669e-15
  1500.000  1.42679e-15
  1505.000  1.16947e-15
  1510.000  4.84775e-16
  1515.000  1.13682e-15
  1520.000  1.33392e-15
  1525.000  9.87798e-16
  1530.000  9.96758e-16
  1535.000  8.58197e-16
  1540.000  1.29743e-15
  1545.000  2.36994e-15
  1550.000  1.48315e-15
  1555.000  1.02296e-15
  1560.000  9.58877e-16
  1565.000  9.42875e-16
  1570.000  7.21308e-16
  1575.000  1.52030e-15
  1580.000  6.36032e-16
  1585.000  5.80435e-16
  1590.000  1.26049e-15
  1595.000  8.22795e-16
  1600.000  2.65223e-16
  1605.000  2.33337e-16
  1610.000  3.42097e-16
  1615.000  9.11658e-16
  1620.000  2.09748e-16
  1625.000  5.91013e-16
  1630.000  7.92305e-16
  1635.000  9.44810e-16
  1640.000  9.66988e-16
  1645.000  6.21374e-16
  1650.000  5.60523e-16
  1655.000  5.64476e-16
  1660.000  2.19942e-15
  1665.000  1.03344e-15
  1670.000  4.38630e-16
  1675.000  6.41351e-16
  1680.000  4.21706e-17
  1685.000  4.93669e-16
  1690.000  6.49044e-16
  1695.000  7.32113e-16
  1700.000  7.81747e-16
  1705.000  5.48741e-16
  1710.000  3.35406e-16
  1715.000  5.35647e-16
  1720.000  3.99730e-16
  1725.000  4.25208e-16
  1730.000  1.07579e-15
  1735.000  6.62251e-16
  1740.000  8.93759e-16
  1745.000  1.42007e-15
  1750.000  1.28468e-15
  1755.000  8.38220e-16
  1760.000  7.07951e-16
  1765.000  8.10892e-16
  1770.000  7.38049e-16
  1775.000  5.51141e-16
  1780.000  5.74443e-16
  1785.000  6.81485e-16
  1790.000  5.73620e-16
  1795.000  7.18561e-16
  1800.000  5.86269e-16
  1805.000  6.69872e-16
  1810.000  8.18442e-16
  1815.000  7.00651e-16
  1820.000  6.97654e-16
  1825.000  7.98088e-16
  1830.000  6.38059e-16
  1835.000  7.48994e-16
  1840.000  5.29170e-16
  1845.000  7.59588e-16
  1850.000  5.88312e-16
  1855.000  5.82938e-16
  1860.000  6.45047e-16
  1865.000  4.21625e-16
  1870.000  6.21011e-16
  1875.000  7.13896e-16
  1880.000  7.15905e-16
  1885.000  1.19737e-15
  1890.000  9.44783e-16
  1895.000  9.18507e-16
  1900.000  1.46855e-15
  1905.000  1.73690e-15
  1910.000  1.70881e-15
  1915.000  8.99329e-16
  1920.000  2.68173e-16
  1925.000  3.68274e-16
  1930.000  4.25213e-16
  1935.000  2.65958e-16
  1940.000  4.30659e-16
  1945.000  3.55030e-16
  1950.000  5.37883e-16
  1955.000  5.22755e-16
  1960.000  7.07503e-16
  1965.000  7.41349e-16
  1970.000  1.04674e-15
  1975.000  6.67776e-16
  1980.000  0.00000e+00
  1985.000  4.39957e-16
  1990.000  8.59193e-16
  1995.000  1.13638e-15
  2000.000  5.69547e-16
  2005.000  4.81523e-16
  2010.000  1.23024e-15
  2015.000  0.00000e+00
  2020.000  9.16566e-16
  2025.000  9.61494e-16
  2030.000  1.33860e-16
  2035.000  0.00000e+00
  2040.000  1.32879e-16
  2045.000  6.45805e-16
  2050.000  1.39433e-15
  2055.000  2.18976e-16
  2060.000  3.02887e-16
  2065.000  1.99828e-16
  2070.000  0.00000e+00
  2075.000  2.47948e-16
  2080.000  1.21640e-15
  2085.000  1.00411e-16
  2090.000  7.12001e-16
  2095.000  0.00000e+00
  2100.000  2.36708e-16
  2105.000  3.80095e-16
  2110.000  7.12313e-17
  2115.000  8.88519e-16
  2120.000  0.00000e+00
  2125.000  4.84145e-16
  2130.000  7.77305e-16
  2135.000  4.37722e-16
  2140.000  5.81543e-17
  2145.000  3.88653e-16
  2150.000  0.00000e+00
  2155.000  7.65311e-16
  2160.000  0.00000e+00
  2165.000  0.00000e+00
  2170.000  5.80469e-16
  2175.000  9.37680e-16
  2180.000  4.44785e-16
  2185.000  3.51328e-16
  2190.000  3.55217e-16
  2195.000  6.79463e-16
  2200.000  5.47043e-16
  2205.000  1.39378e-15
  2210.000  3.68132e-17
  2215.000  5.27104e-16
  2220.000  0.00000e+00
  2225.000  0.00000e+00
  2230.000  3.30790e-16
  2235.000  1.63546e-16
  2240.000  3.84811e-16
  2245.000  1.34410e-16
  2250.000  1.11240e-15
  2255.000  8.41950e-16
  2260.000  9.74507e-16
  2265.000  2.29837e-16
  2270.000  2.13287e-16
  2275.000  1.06080e-15
  2280.000  7.78381e-16
  2285.000  1.25104e-16
  2290.000  1.69174e-16
  2295.000  4.66568e-16
  2300.000  6.28828e-16
  2305.000  7.85502e-16
  2310.000  3.43422e-16
  2315.000  1.44078e-15
  2320.000  1.27385e-15
  2325.000  2.15718e-15
  2330.000  2.32525e-15
  2335.000  1.77931e-15
  2340.000  8.50244e-16
  2345.000  8.87824e-16
  2350.000  5.32551e-16
  2355.000  8.00013e-16
  2360.000  1.15259e-15
  2365.000  3.87462e-16
  2370.000  1.07681e-15
