# agn/ngc1068  |  Francis et al. 1991, ApJ 373, 465 (qso composite) + spextra AGN set
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1000.000  1.27362e-13
  1000.500  1.27332e-13
  1001.000  1.27301e-13
  1001.500  1.27271e-13
  1002.000  1.27240e-13
  1002.500  1.27210e-13
  1003.000  1.27180e-13
  1003.500  1.27150e-13
  1004.000  1.27120e-13
  1004.500  1.27091e-13
  1005.000  1.27063e-13
  1005.500  1.27037e-13
  1006.000  1.27014e-13
  1006.500  1.26994e-13
  1007.000  1.26981e-13
  1007.500  1.26979e-13
  1008.000  1.26991e-13
  1008.500  1.27027e-13
  1009.000  1.27096e-13
  1009.500  1.27214e-13
  1010.000  1.27403e-13
  1010.500  1.27690e-13
  1011.000  1.28115e-13
  1011.500  1.28726e-13
  1012.000  1.29588e-13
  1012.500  1.30782e-13
  1013.000  1.32405e-13
  1013.500  1.34576e-13
  1014.000  1.37436e-13
  1014.500  1.41145e-13
  1015.000  1.45888e-13
  1015.500  1.51876e-13
  1016.000  1.59367e-13
  1016.500  1.68702e-13
  1017.000  1.80405e-13
  1017.500  1.95351e-13
  1018.000  2.15088e-13
  1018.500  2.42317e-13
  1019.000  2.81532e-13
  1019.500  3.39744e-13
  1020.000  4.27003e-13
  1020.500  5.56339e-13
  1021.000  7.42616e-13
  1021.500  9.99894e-13
  1022.000  1.33733e-12
  1022.500  1.75431e-12
  1023.000  2.23617e-12
  1023.500  2.75250e-12
  1024.000  3.25956e-12
  1024.500  3.70739e-12
  1025.000  4.05027e-12
  1025.500  4.25783e-12
  1026.000  4.32314e-12
  1026.500  4.26487e-12
  1027.000  4.12268e-12
  1027.500  3.94693e-12
  1028.000  3.78656e-12
  1028.500  3.67827e-12
  1029.000  3.64044e-12
  1029.500  3.67244e-12
  1030.000  3.75907e-12
  1030.500  3.87713e-12
  1031.000  4.00310e-12
  1031.500  4.11880e-12
  1032.000  4.21467e-12
  1032.500  4.29011e-12
  1033.000  4.35148e-12
  1033.500  4.40849e-12
  1034.000  4.47019e-12
  1034.500  4.54120e-12
  1035.000  4.61941e-12
  1035.500  4.69532e-12
  1036.000  4.75320e-12
  1036.500  4.77377e-12
  1037.000  4.73785e-12
  1037.500  4.63001e-12
  1038.000  4.44174e-12
  1038.500  4.17305e-12
  1039.000  3.83275e-12
  1039.500  3.43713e-12
  1040.000  3.00739e-12
