# etc/misc/qso  |  ESO ETC QSO composite: Francis+91 (800-6000 A) spliced with Turler+99 (6000 A - 2 um)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
   800.000  2.34922e+00
   802.500  2.33616e+00
   805.000  1.71913e+00
   807.500  1.31163e+00
   810.000  1.60622e+00
   812.500  1.81165e+00
   815.000  1.54293e+00
   817.500  2.11806e+00
   820.000  1.90720e+00
   822.500  1.95963e+00
   825.000  1.87111e+00
   827.500  1.48126e+00
   830.000  9.69256e-01
   832.500  9.18417e-01
   835.000  1.68488e+00
   837.500  2.31185e+00
   840.000  2.12207e+00
   842.500  2.32174e+00
   845.000  2.62911e+00
   847.500  2.59329e+00
   850.000  2.20824e+00
   852.500  2.53913e+00
   855.000  3.26927e+00
   857.500  2.91484e+00
   860.000  2.53011e+00
   862.500  2.70180e+00
   865.000  3.18226e+00
   867.500  2.82340e+00
   870.000  3.34732e+00
   872.500  3.54304e+00
   875.000  3.85162e+00
   877.500  4.14590e+00
   880.000  4.12273e+00
   882.500  4.14747e+00
   885.000  4.38073e+00
   887.500  4.07057e+00
   890.000  3.94787e+00
   892.500  3.92817e+00
   895.000  4.40115e+00
   897.500  4.31166e+00
   900.000  4.68265e+00
   902.500  5.42540e+00
   905.000  5.46176e+00
   907.500  5.53227e+00
   910.000  6.02582e+00
   912.500  5.96358e+00
   915.000  6.52746e+00
   917.500  6.87648e+00
   920.000  6.56300e+00
   922.500  6.80782e+00
   925.000  7.16233e+00
   927.500  6.99139e+00
   930.000  7.09648e+00
   932.500  7.99289e+00
   935.000  7.87904e+00
   937.500  6.82169e+00
   940.000  8.28206e+00
   942.500  8.50808e+00
   945.000  8.48263e+00
   947.500  8.26265e+00
   950.000  8.93385e+00
   952.500  8.88729e+00
   955.000  8.51505e+00
   957.500  8.35792e+00
   960.000  7.72751e+00
   962.500  8.38143e+00
   965.000  7.84144e+00
   967.500  8.19247e+00
   970.000  8.36086e+00
   972.500  8.88249e+00
   975.000  9.53528e+00
   977.500  9.79927e+00
   980.000  9.49743e+00
   982.500  9.39937e+00
   985.000  9.44277e+00
   987.500  9.56341e+00
   990.000  9.73860e+00
   992.500  9.80829e+00
