# agn/seyfert1  |  Francis et al. 1991, ApJ 373, 465 (qso composite) + spextra AGN set
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1132.000  4.99191e-13
  1134.000  3.77515e-13
  1136.000  3.06533e-13
  1138.000  2.76691e-13
  1140.000  2.38575e-13
  1142.000  1.32998e-13
  1144.000  3.23993e-14
  1146.000  1.05444e-13
  1148.000  1.94993e-13
  1150.000  1.72954e-13
  1152.000  1.38292e-13
  1154.000  1.49604e-13
  1156.000  1.16567e-13
  1158.000  1.34642e-13
  1160.000  1.63452e-13
  1162.000  2.39678e-13
  1164.000  2.29402e-13
  1166.000  2.26011e-13
  1168.000  2.37520e-13
  1170.000  2.49008e-13
  1172.000  2.69346e-13
  1174.000  3.24039e-13
  1176.000  3.74428e-13
  1178.000  3.92118e-13
  1180.000  4.52832e-13
  1182.000  6.80436e-13
  1184.000  1.16796e-12
  1186.000  1.91108e-12
  1188.000  2.45620e-12
  1190.000  2.47208e-12
  1192.000  2.28817e-12
  1194.000  1.88936e-12
  1196.000  1.28509e-12
  1198.000  8.40884e-13
  1200.000  6.92798e-13
  1202.000  7.11148e-13
  1204.000  8.23915e-13
  1206.000  8.87776e-13
  1208.000  1.08673e-12
  1210.000  1.59257e-12
  1212.000  1.78674e-12
  1214.000  1.51833e-12
  1216.000  1.09977e-12
  1218.000  8.09197e-13
  1220.000  6.86914e-13
  1222.000  5.86230e-13
  1224.000  4.84953e-13
  1226.000  3.94886e-13
  1228.000  3.52222e-13
  1230.000  3.12447e-13
  1232.000  2.64230e-13
  1234.000  3.03550e-13
  1236.000  3.34614e-13
  1238.000  3.19173e-13
  1240.000  3.28750e-13
  1242.000  3.10353e-13
  1244.000  2.58264e-13
  1246.000  2.34192e-13
  1248.000  2.28191e-13
  1250.000  2.26658e-13
  1252.000  2.27000e-13
  1254.000  2.44340e-13
  1256.000  2.29924e-13
  1258.000  1.88917e-13
  1260.000  1.81520e-13
  1262.000  2.00028e-13
  1264.000  1.81664e-13
  1266.000  1.78680e-13
  1268.000  1.73897e-13
  1270.000  2.17235e-13
  1272.000  1.70753e-13
  1274.000  1.41187e-13
  1276.000  1.33189e-13
  1278.000  1.19608e-13
  1280.000  1.21555e-13
  1282.000  1.49364e-13
  1284.000  1.45973e-13
  1286.000  1.50673e-13
  1288.000  1.62772e-13
  1290.000  1.65130e-13
  1292.000  1.62490e-13
  1294.000  1.46620e-13
  1296.000  1.67601e-13
  1298.000  1.74643e-13
  1300.000  1.68412e-13
  1302.000  1.46824e-13
  1304.000  1.49660e-13
  1306.000  1.58347e-13
  1308.000  1.48548e-13
  1310.000  1.44952e-13
  1312.000  1.32051e-13
  1314.000  1.32725e-13
  1316.000  1.35801e-13
  1318.000  1.34260e-13
  1320.000  1.29322e-13
  1322.000  1.31256e-13
  1324.000  1.44820e-13
  1326.000  1.64686e-13
  1328.000  1.41183e-13
  1330.000  1.21254e-13
  1332.000  1.31265e-13
  1334.000  1.52180e-13
  1336.000  1.50130e-13
  1338.000  1.41266e-13
  1340.000  1.39394e-13
  1342.000  1.23401e-13
  1344.000  1.28743e-13
  1346.000  1.07173e-13
  1348.000  1.11490e-13
  1350.000  1.25503e-13
  1352.000  1.10028e-13
  1354.000  1.02532e-13
  1356.000  1.14473e-13
  1358.000  1.04333e-13
  1360.000  1.42990e-13
  1362.000  1.25708e-13
  1364.000  1.24061e-13
  1366.000  1.38639e-13
  1368.000  1.34477e-13
  1370.000  1.49984e-13
  1372.000  1.40988e-13
  1374.000  1.10191e-13
  1376.000  1.51912e-13
  1378.000  1.45572e-13
  1380.000  1.29258e-13
  1382.000  1.44607e-13
  1384.000  1.59321e-13
  1386.000  1.49726e-13
  1388.000  1.65122e-13
  1390.000  1.42242e-13
  1392.000  1.66200e-13
  1394.000  1.82230e-13
  1396.000  1.77191e-13
  1398.000  1.53528e-13
  1400.000  1.72635e-13
  1402.000  1.83932e-13
  1404.000  1.61597e-13
  1406.000  1.42985e-13
  1408.000  1.75329e-13
  1410.000  2.07156e-13
  1412.000  1.59634e-13
  1414.000  1.24995e-13
  1416.000  1.40870e-13
  1418.000  1.26631e-13
  1420.000  1.27448e-13
  1422.000  1.02108e-13
  1424.000  8.64972e-14
  1426.000  9.69753e-14
  1428.000  9.10484e-14
  1430.000  1.14550e-13
  1432.000  9.99719e-14
  1434.000  1.20372e-13
  1436.000  1.33248e-13
  1438.000  1.16952e-13
  1440.000  1.36057e-13
  1442.000  1.43902e-13
  1444.000  1.29363e-13
  1446.000  1.14987e-13
  1448.000  1.03505e-13
  1450.000  1.00230e-13
  1452.000  1.23755e-13
  1454.000  1.25813e-13
  1456.000  1.31092e-13
  1458.000  1.05128e-13
  1460.000  1.35117e-13
  1462.000  1.37126e-13
  1464.000  1.30927e-13
  1466.000  1.14468e-13
  1468.000  9.58687e-14
  1470.000  9.10840e-14
  1472.000  8.99192e-14
  1474.000  1.19543e-13
  1476.000  1.21543e-13
  1478.000  1.22605e-13
  1480.000  1.34091e-13
  1482.000  1.37936e-13
  1484.000  1.26284e-13
  1486.000  1.14236e-13
  1488.000  1.27544e-13
  1490.000  1.12194e-13
  1492.000  1.28240e-13
  1494.000  1.44291e-13
  1496.000  1.48933e-13
  1498.000  1.82729e-13
  1500.000  1.96321e-13
  1502.000  2.04629e-13
  1504.000  2.60502e-13
  1506.000  2.66140e-13
  1508.000  2.44824e-13
  1510.000  2.69865e-13
  1512.000  2.87619e-13
  1514.000  3.26677e-13
  1516.000  3.52567e-13
  1518.000  3.79179e-13
  1520.000  3.94132e-13
  1522.000  3.95446e-13
  1524.000  4.17435e-13
  1526.000  4.62110e-13
  1528.000  4.89147e-13
  1530.000  4.96052e-13
  1532.000  5.37050e-13
  1534.000  5.56124e-13
  1536.000  5.44035e-13
  1538.000  6.00522e-13
  1540.000  6.54081e-13
  1542.000  7.87414e-13
  1544.000  9.38751e-13
  1546.000  1.01932e-12
  1548.000  9.08317e-13
  1550.000  7.15245e-13
  1552.000  6.17541e-13
  1554.000  5.42321e-13
  1556.000  4.77017e-13
  1558.000  4.45543e-13
  1560.000  4.20326e-13
  1562.000  3.75588e-13
  1564.000  3.14843e-13
  1566.000  3.01370e-13
  1568.000  2.79999e-13
  1570.000  2.70864e-13
  1572.000  2.81013e-13
  1574.000  2.84917e-13
  1576.000  2.57571e-13
  1578.000  2.28806e-13
  1580.000  2.52572e-13
  1582.000  2.43710e-13
  1584.000  2.10929e-13
  1586.000  1.96472e-13
  1588.000  1.80420e-13
  1590.000  1.62445e-13
