# brown/NGC0628  |  Brown+14 atlas: NGC 628, Sc grand-design spiral
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
   805.470  1.11450e-15
   814.800  1.14580e-15
   824.230  1.22490e-15
   835.700  1.09920e-15
   845.370  1.28850e-15
   855.160  1.33070e-15
   865.070  1.40640e-15
   875.080  1.48280e-15
   885.220  1.57430e-15
   895.470  1.64470e-15
   905.830  1.67150e-15
   914.220  2.44400e-15
   924.800  1.45910e-14
   935.510  3.14120e-14
   944.170  6.16730e-14
   955.100  8.49360e-14
   963.940  1.03780e-13
   975.100  2.41600e-14
   984.120  1.09920e-13
   995.520  1.08920e-13
  1004.730  1.35550e-13
  1014.030  1.21090e-13
  1025.770  4.80940e-14
  1035.260  9.39930e-14
  1044.840  1.61470e-13
  1054.510  1.61840e-13
  1064.260  1.39350e-13
  1074.110  1.58520e-13
  1084.050  1.36170e-13
  1094.080  1.62590e-13
  1104.200  1.57430e-13
  1114.420  1.55630e-13
  1124.730  1.43910e-13
  1135.140  1.65610e-13
  1145.640  1.53140e-13
  1156.240  1.59260e-13
  1164.260  1.64090e-13
  1175.030  1.27380e-13
  1185.900  1.56350e-13
  1194.120  1.18880e-13
  1205.170  9.16420e-14
  1216.320  4.65690e-14
  1224.750  1.02350e-13
  1236.090  1.46920e-13
  1244.660  1.62220e-13
  1256.170  1.59990e-13
  1264.880  1.43580e-13
  1273.650  1.71430e-13
  1285.430  1.77050e-13
  1294.340  1.54920e-13
  1306.320  1.52440e-13
  1315.370  1.75430e-13
  1324.490  1.69860e-13
  1333.670  1.58520e-13
  1346.010  1.74620e-13
  1355.340  1.71040e-13
  1364.740  1.59620e-13
  1374.200  1.63720e-13
  1383.720  1.65990e-13
  1396.530  1.50350e-13
  1406.210  1.54920e-13
  1415.950  1.57800e-13
  1425.770  1.58160e-13
  1435.650  1.57430e-13
  1442.280  1.63340e-13
  1445.600  1.64470e-13
  1455.620  1.61470e-13
  1465.710  1.53850e-13
  1475.870  1.52440e-13
  1486.100  1.52790e-13
  1496.410  1.53850e-13
  1503.310  1.48630e-13
  1513.730  1.38070e-13
  1517.220  1.43910e-13
  1524.230  1.40960e-13
  1534.790  1.28560e-13
  1545.430  1.36490e-13
  1556.140  1.29750e-13
  1563.320  1.30950e-13
  1574.160  1.37430e-13
  1585.070  1.40960e-13
  1596.060  1.43910e-13
  1603.430  1.39030e-13
  1614.540  1.38710e-13
  1625.730  1.33690e-13
  1633.240  1.38710e-13
  1644.560  1.39350e-13
  1655.960  1.30950e-13
  1663.600  1.40640e-13
  1671.280  1.29750e-13
  1675.130  1.40310e-13
  1686.740  1.43580e-13
  1694.530  1.37120e-13
  1706.280  1.33070e-13
  1714.150  1.29450e-13
  1726.030  1.28260e-13
  1734.000  1.34000e-13
  1746.020  1.30650e-13
  1754.080  1.36490e-13
  1766.240  1.26790e-13
  1774.390  1.30950e-13
  1786.690  1.31550e-13
  1794.940  1.36800e-13
  1803.220  1.35550e-13
  1815.720  1.29750e-13
  1824.100  1.30340e-13
  1836.750  1.26790e-13
  1845.220  1.18600e-13
  1853.740  1.19420e-13
  1866.590  1.21930e-13
  1875.210  1.27380e-13
  1883.860  1.20250e-13
  1896.920  1.16440e-13
  1905.680  1.20810e-13
  1914.470  1.18060e-13
  1923.310  1.15900e-13
  1936.640  1.16710e-13
  1945.580  1.22490e-13
  1954.560  1.16710e-13
  1968.110  1.23620e-13
  1977.190  1.25340e-13
  1981.750  1.20250e-13
  1995.490  1.17520e-13
  2004.700  1.18600e-13
  2013.950  1.16710e-13
  2023.250  1.18880e-13
  2037.270  1.16170e-13
  2046.680  1.18600e-13
  2056.120  1.14050e-13
  2065.610  1.14840e-13
  2075.150  1.20530e-13
  2079.930  1.18330e-13
  2084.730  1.20530e-13
  2094.350  1.15370e-13
  2104.020  1.16170e-13
  2113.730  1.16710e-13
  2123.480  1.17520e-13
  2133.290  1.11200e-13
  2143.130  1.14050e-13
  2153.030  1.15900e-13
  2162.960  1.12480e-13
  2172.950  1.11450e-13
  2182.980  1.11710e-13
  2193.050  1.15370e-13
  2203.180  1.12480e-13
  2213.340  1.07670e-13
  2223.560  1.05950e-13
  2233.820  1.12230e-13
  2244.140  1.08170e-13
  2254.490  1.04250e-13
  2264.900  1.04740e-13
  2275.350  1.07180e-13
  2285.860  1.09670e-13
  2296.410  1.04480e-13
  2307.010  1.05560e-13
  2317.660  1.02560e-13
  2323.000  8.78500e-14
  2333.720  9.66550e-14
  2344.490  9.17700e-14
  2355.310  9.93520e-14
  2366.190  9.15480e-14
  2377.110  9.46490e-14
  2382.590  8.70670e-14
  2393.590  9.14780e-14
  2404.630  8.90790e-14
  2415.730  9.02060e-14
  2426.880  9.58720e-14
  2432.480  9.27720e-14
  2443.710  9.67980e-14
  2454.990  9.57890e-14
  2466.320  9.43540e-14
  2477.700  9.10330e-14
  2483.410  9.09740e-14
  2494.880  8.73680e-14
  2506.390  9.58930e-14
  2512.170  8.60000e-14
  2517.960  8.57460e-14
  2523.770  8.31630e-14
  2535.420  8.47910e-14
  2547.120  8.44830e-14
  2552.990  9.06740e-14
  2564.770  8.76790e-14
  2576.610  9.18980e-14
  2582.550  9.07850e-14
  2594.470  8.92110e-14
  2606.450  8.60640e-14
  2612.460  8.44350e-14
  2624.520  8.84950e-14
  2636.630  9.27500e-14
  2642.710  1.01160e-13
  2654.910  1.05050e-13
  2667.160  9.52310e-14
  2673.310  9.87350e-14
  2685.650  1.00200e-13
  2698.040  9.33740e-14
  2704.260  9.68080e-14
  2716.750  9.02160e-14
  2723.010  8.87080e-14
  2735.580  9.29670e-14
  2741.880  8.09110e-14
  2754.540  8.40170e-14
  2767.250  8.82510e-14
  2773.630  9.14950e-14
  2786.440  8.40900e-14
  2792.860  6.73620e-14
  2805.750  7.15750e-14
  2812.220  8.94190e-14
  2825.200  9.50090e-14
  2838.240  9.20650e-14
  2844.780  8.76520e-14
  2857.910  8.12990e-14
  2864.500  9.26290e-14
  2877.720  9.52940e-14
  2884.360  9.39130e-14
  2897.670  9.50690e-14
  2911.050  1.04080e-13
  2931.220  9.91520e-14
  2951.540  9.68830e-14
  2972.000  9.79900e-14
  2992.600  9.79740e-14
  3013.350  9.84070e-14
  3027.260  9.91510e-14
  3048.240  9.98150e-14
  3069.370  1.00250e-13
  3090.640  9.99910e-14
  3112.070  1.01350e-13
