# brown/NGC3379  |  Brown+14 atlas: NGC 3379, E1 (full-coverage bulge/elliptical)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
   804.790  4.34660e-15
   814.110  4.23790e-15
   825.430  4.14140e-15
   834.990  3.77700e-15
   844.660  3.90980e-15
   854.440  3.79450e-15
   864.340  3.71670e-15
   874.340  3.64880e-15
   884.470  3.55760e-15
   894.710  3.47660e-15
   905.070  3.37410e-15
   915.550  3.93690e-15
   924.020  6.76320e-15
   934.720  9.88900e-15
   945.540  1.33710e-14
   954.290  1.59280e-14
   965.340  1.70670e-14
   974.280  7.38160e-15
   985.560  1.44930e-14
   994.680  1.44930e-14
  1003.880  1.83300e-14
  1015.510  1.79950e-14
  1024.900  1.02840e-14
  1034.380  1.45600e-14
  1043.960  2.16850e-14
  1056.040  2.10450e-14
  1065.820  1.75050e-14
  1075.680  1.95950e-14
  1085.630  1.58910e-14
  1095.680  2.00060e-14
  1105.810  1.91050e-14
  1116.050  1.84140e-14
  1123.780  1.65250e-14
  1134.180  1.97310e-14
  1144.670  1.82870e-14
  1155.270  1.88000e-14
  1165.960  1.88430e-14
  1174.040  1.35570e-14
  1184.900  1.79540e-14
  1195.870  1.40010e-14
  1204.150  1.12240e-14
  1215.300  8.11240e-15
  1223.720  1.35880e-14
  1235.040  1.77070e-14
  1243.600  1.87570e-14
  1255.110  1.79540e-14
  1263.810  1.62240e-14
  1275.510  1.92820e-14
  1284.350  1.98220e-14
  1296.230  1.62610e-14
  1305.220  1.61120e-14
  1314.260  1.90610e-14
  1326.420  1.81620e-14
  1335.620  1.63740e-14
  1344.880  1.86270e-14
  1354.200  1.80360e-14
  1363.580  1.63360e-14
  1376.200  1.67170e-14
  1385.740  1.66780e-14
  1395.350  1.40010e-14
  1405.020  1.41630e-14
  1414.760  1.53160e-14
  1424.560  1.53520e-14
  1434.440  1.53520e-14
  1441.060  1.58910e-14
  1447.710  1.60010e-14
  1454.390  1.54940e-14
  1464.480  1.43930e-14
  1474.630  1.43270e-14
  1484.850  1.44590e-14
  1495.140  1.44590e-14
  1505.500  1.36820e-14
  1512.450  1.23350e-14
  1515.940  1.29760e-14
  1526.450  1.26230e-14
  1533.490  1.10190e-14
  1544.120  1.13540e-14
  1554.830  1.08680e-14
  1565.610  1.12500e-14
  1576.460  1.18620e-14
  1583.730  1.22500e-14
  1594.710  1.23640e-14
  1605.770  1.20550e-14
  1613.180  1.19720e-14
  1624.360  1.14060e-14
  1635.620  1.19720e-14
  1643.170  1.20550e-14
  1654.560  1.12760e-14
  1666.030  1.20270e-14
  1673.720  1.08180e-14
  1677.580  1.21380e-14
  1685.320  1.24490e-14
  1693.100  1.16990e-14
  1704.830  1.12500e-14
  1716.650  1.06700e-14
  1724.580  1.05480e-14
  1736.530  1.11210e-14
  1744.550  1.08430e-14
  1756.640  1.14060e-14
  1764.750  1.05480e-14
  1776.980  1.06450e-14
  1785.180  1.07930e-14
  1793.420  1.13800e-14
  1805.850  1.12500e-14
  1814.190  1.03790e-14
  1826.760  1.05480e-14
  1835.200  1.01430e-14
  1843.670  9.29290e-15
  1856.450  9.35730e-15
  1865.010  9.61950e-15
  1873.620  1.02370e-14
  1886.610  9.46570e-15
  1895.320  9.18650e-15
  1904.070  9.61950e-15
  1912.860  9.25020e-15
  1926.110  8.95680e-15
  1935.010  8.99810e-15
  1943.940  9.64170e-15
  1952.910  9.03970e-15
  1966.450  9.91180e-15
  1975.520  1.00040e-14
  1984.640  9.68620e-15
  1993.800  9.46570e-15
  2003.010  9.61950e-15
  2016.890  9.40050e-15
  2026.200  9.46570e-15
  2035.550  9.33580e-15
  2044.950  9.75330e-15
  2054.390  9.18650e-15
  2063.870  9.20770e-15
  2073.400  9.95750e-15
  2078.180  1.20820e-14
  2082.970  1.38090e-14
  2097.400  1.28870e-14
  2107.090  1.27390e-14
  2116.810  1.35880e-14
  2126.580  1.28570e-14
  2136.400  1.21660e-14
  2146.260  1.40010e-14
  2156.170  1.40650e-14
  2166.120  1.28280e-14
  2176.120  1.27980e-14
  2186.160  1.47620e-14
  2196.250  1.46940e-14
  2206.390  1.43930e-14
  2216.570  1.20550e-14
  2226.800  1.32480e-14
  2237.080  1.64120e-14
  2247.410  1.56730e-14
  2252.590  1.28870e-14
  2262.990  1.22220e-14
  2273.430  1.30960e-14
  2283.930  1.65630e-14
