# brown/NGC4450  |  Brown+14 atlas: NGC 4450, Sab bulge-dominated
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
   805.710  1.42560e-15
   815.040  1.39640e-15
   824.480  1.37410e-15
   835.950  1.25890e-15
   845.630  1.30920e-15
   855.420  1.27650e-15
   865.320  1.26180e-15
   875.340  1.24450e-15
   885.480  1.22180e-15
   895.730  1.20230e-15
   904.020  1.17220e-15
   914.490  1.33660e-15
   925.080  2.91750e-15
   935.790  4.89790e-15
   944.450  7.76260e-15
   955.390  1.00230e-14
   964.230  1.12460e-14
   975.390  3.39630e-15
   984.420  1.00690e-14
   995.810  1.01160e-14
  1005.030  1.32740e-14
  1014.330  1.25890e-14
  1026.070  5.95670e-15
  1035.570  9.48440e-15
  1045.150  1.58860e-14
  1054.820  1.55240e-14
  1064.580  1.27650e-14
  1074.430  1.46220e-14
  1084.370  1.18030e-14
  1094.410  1.49280e-14
  1104.530  1.43220e-14
  1114.750  1.38040e-14
  1125.070  1.24740e-14
  1135.480  1.50320e-14
  1145.980  1.37410e-14
  1153.930  1.43220e-14
  1164.600  1.45880e-14
  1175.380  1.05930e-14
  1186.260  1.39000e-14
  1194.480  1.01630e-14
  1205.530  7.76260e-15
  1213.890  4.93180e-15
  1225.120  9.50620e-15
  1233.610  1.34590e-14
  1245.030  1.45880e-14
  1253.660  1.40280e-14
  1265.260  1.22750e-14
  1274.030  1.51360e-14
  1285.810  1.56320e-14
  1294.730  1.28240e-14
  1303.700  1.25890e-14
  1315.770  1.50660e-14
  1324.890  1.44210e-14
  1334.070  1.29420e-14
  1346.410  1.48600e-14
  1355.750  1.43550e-14
  1365.140  1.30020e-14
  1374.610  1.34280e-14
  1384.140  1.34900e-14
  1393.730  1.17490e-14
  1403.390  1.20510e-14
  1416.380  1.24170e-14
  1426.190  1.25610e-14
  1436.080  1.24450e-14
  1442.710  1.29720e-14
  1446.030  1.30920e-14
  1456.060  1.27060e-14
  1466.150  1.18030e-14
  1476.310  1.16950e-14
  1486.550  1.18030e-14
  1493.410  1.18850e-14
  1503.760  1.12720e-14
  1510.700  1.01630e-14
  1517.670  1.07400e-14
  1524.680  1.04230e-14
  1535.250  9.18350e-15
  1545.890  9.81770e-15
  1556.600  9.28980e-15
  1563.790  9.44080e-15
  1574.630  9.95420e-15
  1585.540  1.02800e-14
  1596.540  1.04710e-14
  1603.900  1.01630e-14
  1615.020  1.01160e-14
  1626.220  9.59420e-15
  1633.720  1.00690e-14
  1645.050  1.01390e-14
  1656.450  9.39740e-15
  1664.100  1.01390e-14
  1671.780  9.12030e-15
  1675.630  1.01630e-14
  1683.370  1.04710e-14
  1695.030  9.86300e-15
  1706.780  9.46250e-15
  1714.660  9.03660e-15
  1726.550  8.95380e-15
  1734.520  9.46250e-15
  1746.540  9.20470e-15
  1754.600  9.75010e-15
  1766.760  8.91270e-15
  1774.920  9.14130e-15
  1783.110  9.24710e-15
  1795.470  9.81770e-15
  1803.760  9.66070e-15
  1816.260  8.99510e-15
  1824.650  9.12030e-15
  1833.070  8.77020e-15
  1845.770  8.01690e-15
  1854.290  8.12840e-15
