# brown/NGC4579  |  Brown+14 atlas: NGC 4579, LINER/Sy1.9
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
   805.020  7.63760e-16
   814.340  7.58500e-16
   825.670  7.63760e-16
   835.230  6.94960e-16
   844.910  7.49820e-16
   854.690  7.42950e-16
   864.590  7.49820e-16
   874.600  7.56760e-16
   884.720  7.65520e-16
   894.970  7.70830e-16
   905.330  7.58500e-16
   915.820  9.79400e-16
   924.290  3.74070e-15
   934.990  7.60250e-15
   945.820  1.40270e-14
   954.570  1.95420e-14
   965.620  2.21800e-14
   974.560  4.26540e-15
   985.840  1.92730e-14
   994.970  2.01350e-14
  1004.170  2.87050e-14
  1015.800  2.73500e-14
  1025.200  1.16940e-14
  1034.680  1.93180e-14
  1044.260  3.63880e-14
  1053.920  3.57240e-14
  1066.120  2.84420e-14
  1075.990  3.36480e-14
  1085.950  2.66050e-14
  1095.990  3.50720e-14
  1106.130  3.36480e-14
  1113.800  3.23560e-14
  1124.110  2.91710e-14
  1134.510  3.66400e-14
  1145.010  3.32630e-14
  1155.600  3.52340e-14
  1166.290  3.63040e-14
  1174.380  2.54660e-14
  1185.240  3.49910e-14
  1196.210  2.40410e-14
  1204.500  1.73760e-14
  1215.650  1.11420e-14
  1224.070  2.32250e-14
  1235.400  3.52340e-14
  1243.960  3.88110e-14
  1255.480  3.71500e-14
  1264.180  3.17660e-14
  1275.870  4.10160e-14
  1284.720  4.29490e-14
  1293.620  3.41160e-14
  1305.590  3.34930e-14
  1314.640  4.17790e-14
  1323.760  3.98990e-14
  1336.000  3.53150e-14
  1345.270  4.18750e-14
  1354.590  4.04540e-14
  1363.980  3.61380e-14
  1373.440  3.79280e-14
  1386.140  3.82790e-14
  1395.750  3.34930e-14
  1405.430  3.47500e-14
  1415.170  3.53150e-14
  1424.980  3.61380e-14
  1434.850  3.58060e-14
  1441.480  3.77540e-14
  1448.130  3.83670e-14
  1454.820  3.72360e-14
  1464.900  3.42730e-14
  1475.050  3.41160e-14
  1485.280  3.46700e-14
  1495.570  3.52340e-14
  1505.940  3.33390e-14
  1512.890  2.96450e-14
  1516.380  3.16930e-14
  1523.380  3.06870e-14
  1533.940  2.67270e-14
  1544.570  2.94410e-14
  1555.280  2.77310e-14
  1566.060  2.80520e-14
  1573.290  2.98510e-14
  1584.190  3.12580e-14
  1595.170  3.19120e-14
  1606.230  3.11140e-14
  1613.650  3.11860e-14
  1624.830  2.93740e-14
  1636.090  3.11860e-14
  1643.640  3.16200e-14
  1655.040  2.90370e-14
  1666.510  3.17660e-14
  1670.350  2.82460e-14
  1678.060  3.19120e-14
  1685.810  3.32630e-14
  1693.590  3.11140e-14
  1705.330  2.98510e-14
  1713.200  2.84420e-14
  1725.080  2.82460e-14
  1733.040  3.00580e-14
  1745.050  2.93060e-14
  1753.110  3.12580e-14
  1765.260  2.84420e-14
  1773.400  2.93060e-14
  1785.700  2.97140e-14
  1793.940  3.18390e-14
  1806.380  3.14020e-14
  1814.710  2.91040e-14
  1823.090  2.95770e-14
  1835.730  2.83110e-14
  1844.200  2.59390e-14
  1856.980  2.61790e-14
  1865.550  2.70990e-14
  1874.170  2.91040e-14
  1887.160  2.69130e-14
  1895.870  2.59990e-14
  1904.620  2.72870e-14
  1913.410  2.64220e-14
  1926.670  2.57610e-14
  1935.570  2.59390e-14
  1944.500  2.77310e-14
  1953.480  2.61190e-14
  1967.020  2.85730e-14
  1976.100  2.90370e-14
  1985.220  2.77940e-14
  1994.380  2.70370e-14
  2003.590  2.74760e-14
  2012.830  2.66660e-14
  2026.790  2.74130e-14
  2036.140  2.66050e-14
  2045.540  2.77310e-14
  2054.980  2.64820e-14
  2064.470  2.64220e-14
  2074.000  2.83760e-14
  2078.780  2.91710e-14
  2083.570  3.09000e-14
  2093.190  2.90370e-14
  2102.850  2.88380e-14
  2117.430  2.95770e-14
