# brown/NGC5033  |  Brown+14 atlas: NGC 5033, Seyfert 1.5 (full UV-mid-IR SED)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
   804.890  6.88310e-16
   814.210  6.86730e-16
   825.530  6.97890e-16
   835.090  6.06440e-16
   844.760  6.86730e-16
   854.540  6.80440e-16
   864.440  6.94680e-16
   874.450  7.05970e-16
   884.570  7.19100e-16
   894.820  7.25750e-16
   905.180  7.10870e-16
   915.660  8.92870e-16
   924.130  3.81760e-15
   934.830  7.81250e-15
   945.660  1.45810e-14
   954.410  2.13690e-14
   965.460  2.18670e-14
   974.390  3.57920e-15
   985.680  1.54450e-14
   994.800  1.84840e-14
  1004.000  3.06750e-14
  1015.630  3.08880e-14
  1025.020  1.40210e-14
  1034.510  1.95790e-14
  1044.080  4.23440e-14
  1056.170  4.16670e-14
  1065.940  3.01150e-14
  1075.810  3.78260e-14
  1085.760  2.74020e-14
  1095.810  4.07180e-14
  1105.950  3.89750e-14
  1116.180  3.62900e-14
  1123.920  3.17530e-14
  1134.320  4.43390e-14
  1144.810  3.95170e-14
  1155.400  4.33300e-14
  1166.100  4.45440e-14
  1174.180  2.81700e-14
  1185.040  4.32300e-14
  1196.010  2.62290e-14
  1204.300  1.69350e-14
  1215.440  1.41510e-14
  1223.870  2.94980e-14
  1235.190  4.82820e-14
  1243.750  5.34300e-14
  1255.260  4.96350e-14
  1263.960  4.10000e-14
  1275.660  5.71200e-14
  1284.500  6.07840e-14
  1296.390  4.34300e-14
  1305.370  4.27350e-14
  1314.420  5.83160e-14
  1323.530  5.51810e-14
  1335.780  4.61090e-14
  1345.040  5.98120e-14
  1354.360  5.76480e-14
  1363.750  4.94070e-14
  1376.370  5.31850e-14
  1385.910  5.36770e-14
  1395.510  4.58970e-14
  1405.190  4.77300e-14
  1414.930  4.85050e-14
  1424.740  5.10250e-14
  1434.610  5.03250e-14
  1441.230  5.40490e-14
  1447.890  5.54350e-14
  1454.570  5.31850e-14
  1464.650  4.78400e-14
  1474.800  4.81710e-14
  1485.030  4.98640e-14
  1495.320  5.11430e-14
  1505.680  4.75100e-14
  1512.630  4.08120e-14
  1516.120  4.48530e-14
  1526.630  4.28340e-14
  1533.680  3.57920e-14
  1544.310  4.10000e-14
  1555.010  3.85290e-14
  1565.790  3.90650e-14
  1576.650  4.20520e-14
  1583.920  4.51630e-14
  1594.900  4.60030e-14
  1605.960  4.53720e-14
  1613.370  4.58970e-14
  1624.550  4.26370e-14
  1635.810  4.63220e-14
  1643.370  4.70750e-14
  1654.760  4.29330e-14
  1666.230  4.76200e-14
  1673.920  4.09060e-14
  1677.780  4.78400e-14
  1685.520  5.10250e-14
  1693.300  4.72920e-14
  1705.040  4.50600e-14
  1716.860  4.18590e-14
  1724.780  4.16670e-14
  1736.740  4.52680e-14
  1744.750  4.41350e-14
  1756.850  4.80600e-14
  1764.960  4.31310e-14
  1773.100  4.42370e-14
  1785.390  4.53720e-14
  1793.640  4.94070e-14
  1806.070  4.91800e-14
  1814.400  4.43390e-14
  1826.980  4.56860e-14
  1835.410  4.35300e-14
  1843.890  3.93360e-14
  1856.670  3.92450e-14
  1865.240  4.08120e-14
  1873.850  4.54770e-14
  1886.840  4.11900e-14
  1895.550  3.94260e-14
  1904.290  4.23440e-14
  1913.080  4.02520e-14
  1926.350  3.96080e-14
  1935.240  4.10950e-14
  1944.170  4.30320e-14
  1953.140  3.99750e-14
  1966.680  4.48530e-14
  1975.760  4.62150e-14
  1984.880  4.34300e-14
  1994.040  4.20520e-14
  2003.250  4.37310e-14
  2017.130  4.16670e-14
  2026.440  4.42370e-14
  2035.800  4.14750e-14
  2045.190  4.36300e-14
  2054.630  4.11900e-14
  2064.120  4.12840e-14
  2073.640  4.50600e-14
  2078.420  4.32300e-14
  2083.210  4.56860e-14
  2092.830  4.28340e-14
  2107.340  4.30320e-14
  2117.060  4.37310e-14
  2126.840  4.42370e-14
  2136.650  4.06240e-14
  2146.520  4.23440e-14
  2156.420  4.42370e-14
  2166.380  4.25390e-14
  2176.380  4.21490e-14
  2186.420  4.17630e-14
  2196.510  4.38320e-14
  2206.650  4.25390e-14
  2216.840  3.97000e-14
  2227.070  3.86180e-14
  2237.350  4.21490e-14
  2242.510  4.01590e-14
  2252.860  3.75650e-14
  2263.260  3.86180e-14
  2273.710  3.99750e-14
  2284.200  4.18590e-14
  2294.740  3.88850e-14
  2305.340  3.94210e-14
  2315.980  3.67850e-14
  2326.670  2.76450e-14
  2337.410  3.31560e-14
  2342.790  3.18080e-14
  2353.610  3.56020e-14
  2364.470  3.16540e-14
  2375.390  3.29890e-14
  2386.350  2.99440e-14
  2397.370  3.24530e-14
