# dobos/BG  |  Dobos et al. 2012, MNRAS 420, 1217 (SDSS composites)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  3350.000  5.45400e-01
  3351.000  5.32720e-01
  3352.000  5.31690e-01
  3353.000  5.52900e-01
  3354.000  5.75180e-01
  3355.000  5.57850e-01
  3356.000  5.70410e-01
  3357.000  5.63510e-01
  3358.000  5.27450e-01
  3359.000  5.09490e-01
  3360.000  4.89060e-01
  3361.000  4.72300e-01
  3362.000  4.85530e-01
  3363.000  5.18330e-01
  3364.000  5.33140e-01
  3365.000  5.36300e-01
  3366.000  5.46810e-01
  3367.000  5.15960e-01
  3368.000  5.17430e-01
  3369.000  5.07040e-01
  3370.000  4.95990e-01
  3371.000  4.90710e-01
  3372.000  4.92470e-01
  3373.000  5.08980e-01
  3374.000  5.12350e-01
  3375.000  5.40970e-01
  3376.000  5.64360e-01
  3377.000  5.70710e-01
  3378.000  5.65200e-01
  3379.000  5.29700e-01
  3380.000  5.13410e-01
  3381.000  5.08140e-01
  3382.000  5.16650e-01
  3383.000  5.27090e-01
  3384.000  5.32960e-01
  3385.000  5.47810e-01
  3386.000  5.52830e-01
  3387.000  5.56080e-01
  3388.000  5.50750e-01
  3389.000  5.52710e-01
  3390.000  5.56220e-01
  3391.000  5.50310e-01
  3392.000  5.38940e-01
  3393.000  5.21460e-01
  3394.000  5.22950e-01
  3395.000  5.35170e-01
  3396.000  5.54280e-01
  3397.000  5.67340e-01
  3398.000  5.81220e-01
  3399.000  5.87540e-01
  3400.000  5.96730e-01
  3401.000  5.96560e-01
  3402.000  5.83000e-01
  3403.000  5.76500e-01
  3404.000  5.68660e-01
  3405.000  5.60750e-01
  3406.000  5.59100e-01
  3407.000  5.51990e-01
  3408.000  5.44890e-01
  3409.000  5.45000e-01
  3410.000  5.48430e-01
  3411.000  5.52090e-01
  3412.000  5.56290e-01
  3413.000  5.48750e-01
  3414.000  5.37820e-01
  3415.000  5.34680e-01
  3416.000  5.37640e-01
  3417.000  5.47610e-01
  3418.000  5.64120e-01
  3419.000  5.75340e-01
  3420.000  5.82930e-01
  3421.000  5.82890e-01
  3422.000  5.72150e-01
  3423.000  5.61930e-01
  3424.000  5.57440e-01
  3425.000  5.63580e-01
  3426.000  5.70620e-01
  3427.000  5.74200e-01
  3428.000  5.76070e-01
  3429.000  5.82200e-01
  3430.000  5.89340e-01
  3431.000  5.88380e-01
  3432.000  5.78890e-01
  3433.000  5.61190e-01
  3434.000  5.56150e-01
  3435.000  5.64000e-01
  3436.000  5.68880e-01
  3437.000  5.62300e-01
  3438.000  5.53940e-01
  3439.000  5.35980e-01
  3440.000  5.17710e-01
  3441.000  5.00740e-01
  3442.000  4.88050e-01
  3443.000  4.85130e-01
  3444.000  4.89960e-01
  3445.000  5.04010e-01
  3446.000  5.18360e-01
  3447.000  5.30800e-01
  3448.000  5.44580e-01
  3449.000  5.55780e-01
  3450.000  5.65260e-01
  3451.000  5.67660e-01
  3452.000  5.61350e-01
  3453.000  5.55530e-01
  3454.000  5.54640e-01
  3455.000  5.56760e-01
  3456.000  5.58400e-01
  3457.000  5.51060e-01
  3458.000  5.43140e-01
  3459.000  5.33130e-01
  3460.000  5.22160e-01
  3461.000  5.17410e-01
  3462.000  5.21030e-01
  3463.000  5.34570e-01
  3464.000  5.46110e-01
  3465.000  5.50350e-01
  3466.000  5.49580e-01
  3467.000  5.49880e-01
  3468.000  5.55450e-01
  3469.000  5.63590e-01
  3470.000  5.69570e-01
  3471.000  5.68160e-01
  3472.000  5.58400e-01
  3473.000  5.44280e-01
  3474.000  5.26280e-01
  3475.000  5.10410e-01
  3476.000  5.02580e-01
  3477.000  5.05880e-01
  3478.000  5.18680e-01
  3479.000  5.33740e-01
  3480.000  5.45780e-01
  3481.000  5.48890e-01
  3482.000  5.44140e-01
  3483.000  5.40010e-01
  3484.000  5.35030e-01
  3485.000  5.37140e-01
  3486.000  5.46930e-01
  3487.000  5.56570e-01
  3488.000  5.55890e-01
  3489.000  5.43340e-01
  3490.000  5.27090e-01
  3491.000  5.15660e-01
  3492.000  5.14730e-01
  3493.000  5.18490e-01
  3494.000  5.21040e-01
  3495.000  5.19520e-01
  3496.000  5.12370e-01
  3497.000  5.07320e-01
  3498.000  5.14220e-01
  3499.000  5.34110e-01
  3500.000  5.54950e-01
  3501.000  5.67220e-01
  3502.000  5.76210e-01
  3503.000  5.81140e-01
  3504.000  5.83040e-01
  3505.000  5.77350e-01
  3506.000  5.66200e-01
  3507.000  5.60800e-01
  3508.000  5.61360e-01
  3509.000  5.59790e-01
  3510.000  5.52440e-01
  3511.000  5.43050e-01
  3512.000  5.34120e-01
  3513.000  5.26710e-01
  3514.000  5.23280e-01
  3515.000  5.27630e-01
  3516.000  5.41220e-01
  3517.000  5.60060e-01
  3518.000  5.72810e-01
  3519.000  5.72740e-01
  3520.000  5.61980e-01
  3521.000  5.48460e-01
  3522.000  5.35440e-01
  3523.000  5.25820e-01
  3524.000  5.13290e-01
  3525.000  5.02500e-01
  3526.000  4.99750e-01
  3527.000  5.06820e-01
  3528.000  5.26400e-01
  3529.000  5.44340e-01
  3530.000  5.54180e-01
  3531.000  5.53940e-01
  3532.000  5.50690e-01
  3533.000  5.50140e-01
  3534.000  5.54480e-01
  3535.000  5.62090e-01
  3536.000  5.66230e-01
  3537.000  5.68730e-01
  3538.000  5.73220e-01
  3539.000  5.79750e-01
  3540.000  5.81900e-01
  3541.000  5.78970e-01
  3542.000  5.74090e-01
  3543.000  5.72760e-01
  3544.000  5.76210e-01
  3545.000  5.78920e-01
  3546.000  5.78960e-01
  3547.000  5.77560e-01
  3548.000  5.73980e-01
  3549.000  5.72900e-01
  3550.000  5.74600e-01
  3551.000  5.73640e-01
  3552.000  5.66730e-01
  3553.000  5.57530e-01
  3554.000  5.48690e-01
  3555.000  5.46470e-01
  3556.000  5.50100e-01
  3557.000  5.54010e-01
  3558.000  5.54710e-01
  3559.000  5.51810e-01
  3560.000  5.51030e-01
  3561.000  5.53230e-01
  3562.000  5.58960e-01
  3563.000  5.62090e-01
  3564.000  5.53370e-01
  3565.000  5.32300e-01
  3566.000  5.11620e-01
  3567.000  5.02490e-01
  3568.000  5.02150e-01
  3569.000  5.00160e-01
  3570.000  4.94070e-01
  3571.000  4.93180e-01
  3572.000  4.98690e-01
  3573.000  5.09090e-01
  3574.000  5.17450e-01
  3575.000  5.22540e-01
  3576.000  5.25890e-01
  3577.000  5.27200e-01
  3578.000  5.24430e-01
  3579.000  5.15660e-01
  3580.000  5.01120e-01
  3581.000  4.86610e-01
  3582.000  4.78720e-01
  3583.000  4.76810e-01
  3584.000  4.76780e-01
  3585.000  4.70490e-01
  3586.000  4.59760e-01
  3587.000  4.55750e-01
  3588.000  4.63930e-01
  3589.000  4.78850e-01
  3590.000  4.99500e-01
  3591.000  5.20320e-01
  3592.000  5.35950e-01
  3593.000  5.44230e-01
  3594.000  5.49000e-01
  3595.000  5.55630e-01
  3596.000  5.66770e-01
  3597.000  5.77260e-01
  3598.000  5.85070e-01
  3599.000  5.88930e-01
  3600.000  5.88840e-01
  3601.000  5.83720e-01
  3602.000  5.70130e-01
  3603.000  5.50860e-01
  3604.000  5.34530e-01
  3605.000  5.27240e-01
  3606.000  5.26550e-01
  3607.000  5.27120e-01
  3608.000  5.22990e-01
  3609.000  5.15100e-01
  3610.000  5.08620e-01
  3611.000  5.13080e-01
  3612.000  5.22700e-01
  3613.000  5.28370e-01
  3614.000  5.34810e-01
  3615.000  5.42810e-01
  3616.000  5.49070e-01
  3617.000  5.44680e-01
  3618.000  5.27220e-01
  3619.000  5.06950e-01
  3620.000  5.00540e-01
  3621.000  5.12490e-01
  3622.000  5.33180e-01
  3623.000  5.50460e-01
  3624.000  5.61560e-01
  3625.000  5.73310e-01
  3626.000  5.88380e-01
  3627.000  6.02190e-01
  3628.000  6.05790e-01
  3629.000  5.95530e-01
  3630.000  5.69600e-01
  3631.000  5.35690e-01
  3632.000  5.10140e-01
  3633.000  5.03250e-01
  3634.000  5.10820e-01
  3635.000  5.22100e-01
  3636.000  5.35450e-01
  3637.000  5.49950e-01
  3638.000  5.65990e-01
  3639.000  5.79910e-01
  3640.000  5.89400e-01
  3641.000  5.91240e-01
  3642.000  5.83990e-01
  3643.000  5.70980e-01
  3644.000  5.57800e-01
  3645.000  5.46600e-01
  3646.000  5.36890e-01
  3647.000  5.30210e-01
  3648.000  5.25280e-01
  3649.000  5.22460e-01
  3650.000  5.26920e-01
  3651.000  5.37860e-01
  3652.000  5.52660e-01
  3653.000  5.67210e-01
  3654.000  5.79200e-01
  3655.000  5.85950e-01
  3656.000  5.91160e-01
  3657.000  5.96450e-01
  3658.000  6.02940e-01
  3659.000  6.06790e-01
  3660.000  6.07740e-01
  3661.000  6.04730e-01
  3662.000  5.98020e-01
  3663.000  5.90010e-01
  3664.000  5.83040e-01
  3665.000  5.81150e-01
  3666.000  5.83420e-01
  3667.000  5.82450e-01
  3668.000  5.78020e-01
  3669.000  5.71530e-01
  3670.000  5.67000e-01
  3671.000  5.72660e-01
  3672.000  5.82910e-01
  3673.000  5.92410e-01
  3674.000  5.95970e-01
