# dobos/RED0  |  Dobos et al. 2012, MNRAS 420, 1217 (SDSS composites)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  3350.000  4.02050e-01
  3351.000  4.17030e-01
  3352.000  3.44360e-01
  3353.000  3.47360e-01
  3354.000  4.27530e-01
  3355.000  4.63270e-01
  3356.000  4.16930e-01
  3357.000  4.11740e-01
  3358.000  3.72130e-01
  3359.000  3.50020e-01
  3360.000  3.35830e-01
  3361.000  3.07780e-01
  3362.000  3.21970e-01
  3363.000  3.37880e-01
  3364.000  3.73860e-01
  3365.000  3.82770e-01
  3366.000  3.83670e-01
  3367.000  3.66400e-01
  3368.000  3.65540e-01
  3369.000  3.31760e-01
  3370.000  3.30710e-01
  3371.000  3.34460e-01
  3372.000  3.35480e-01
  3373.000  3.49150e-01
  3374.000  3.66130e-01
  3375.000  4.01310e-01
  3376.000  4.00800e-01
  3377.000  4.00310e-01
  3378.000  4.10810e-01
  3379.000  3.80570e-01
  3380.000  3.76890e-01
  3381.000  3.77870e-01
  3382.000  3.67570e-01
  3383.000  3.72030e-01
  3384.000  3.76670e-01
  3385.000  3.98030e-01
  3386.000  4.15350e-01
  3387.000  4.14140e-01
  3388.000  4.08400e-01
  3389.000  4.01100e-01
  3390.000  4.12380e-01
  3391.000  4.03710e-01
  3392.000  3.86250e-01
  3393.000  3.70530e-01
  3394.000  3.71980e-01
  3395.000  3.86900e-01
  3396.000  4.09430e-01
  3397.000  4.27820e-01
  3398.000  4.47940e-01
  3399.000  4.66230e-01
  3400.000  4.57830e-01
  3401.000  4.48770e-01
  3402.000  4.50380e-01
  3403.000  4.48530e-01
  3404.000  4.31300e-01
  3405.000  4.21250e-01
  3406.000  4.11060e-01
  3407.000  4.01910e-01
  3408.000  3.97860e-01
  3409.000  4.01610e-01
  3410.000  4.06840e-01
  3411.000  4.03880e-01
  3412.000  4.01080e-01
  3413.000  3.85810e-01
  3414.000  3.87130e-01
  3415.000  3.88300e-01
  3416.000  3.87730e-01
  3417.000  3.97580e-01
  3418.000  4.16260e-01
  3419.000  4.30920e-01
  3420.000  4.42510e-01
  3421.000  4.39280e-01
  3422.000  4.33990e-01
  3423.000  4.27850e-01
  3424.000  4.14890e-01
  3425.000  4.18030e-01
  3426.000  4.23110e-01
  3427.000  4.28870e-01
  3428.000  4.21410e-01
  3429.000  4.40800e-01
  3430.000  4.53750e-01
  3431.000  4.58110e-01
  3432.000  4.41660e-01
  3433.000  4.32860e-01
  3434.000  4.22100e-01
  3435.000  4.20270e-01
  3436.000  4.26070e-01
  3437.000  4.17200e-01
  3438.000  4.09360e-01
  3439.000  3.91820e-01
  3440.000  3.59990e-01
  3441.000  3.40160e-01
  3442.000  3.29800e-01
  3443.000  3.22460e-01
  3444.000  3.28300e-01
  3445.000  3.48250e-01
  3446.000  3.65210e-01
  3447.000  3.81020e-01
  3448.000  3.98400e-01
  3449.000  4.14470e-01
  3450.000  4.22000e-01
  3451.000  4.28590e-01
  3452.000  4.23800e-01
  3453.000  4.19420e-01
  3454.000  4.15620e-01
  3455.000  4.14290e-01
  3456.000  4.15870e-01
  3457.000  4.11470e-01
  3458.000  4.00100e-01
  3459.000  3.87190e-01
  3460.000  3.78470e-01
  3461.000  3.71010e-01
  3462.000  3.77440e-01
  3463.000  3.89370e-01
  3464.000  4.01140e-01
  3465.000  4.07320e-01
  3466.000  4.09180e-01
  3467.000  4.11960e-01
  3468.000  4.15340e-01
  3469.000  4.24310e-01
  3470.000  4.31010e-01
  3471.000  4.32180e-01
  3472.000  4.21580e-01
  3473.000  4.06000e-01
  3474.000  3.86120e-01
  3475.000  3.69620e-01
  3476.000  3.58870e-01
  3477.000  3.63300e-01
  3478.000  3.72840e-01
  3479.000  3.89380e-01
  3480.000  4.02750e-01
  3481.000  4.07950e-01
  3482.000  4.05520e-01
  3483.000  4.01510e-01
  3484.000  3.98690e-01
  3485.000  4.00320e-01
  3486.000  4.06810e-01
  3487.000  4.17810e-01
  3488.000  4.16570e-01
  3489.000  4.03330e-01
  3490.000  3.88270e-01
  3491.000  3.75240e-01
  3492.000  3.70200e-01
  3493.000  3.74130e-01
  3494.000  3.73610e-01
  3495.000  3.75940e-01
  3496.000  3.74210e-01
  3497.000  3.73870e-01
  3498.000  3.81440e-01
  3499.000  3.99800e-01
  3500.000  4.19370e-01
  3501.000  4.39000e-01
  3502.000  4.50320e-01
  3503.000  4.55310e-01
  3504.000  4.56440e-01
  3505.000  4.50040e-01
  3506.000  4.42870e-01
  3507.000  4.38230e-01
  3508.000  4.32870e-01
  3509.000  4.28360e-01
  3510.000  4.20430e-01
  3511.000  4.11410e-01
  3512.000  4.01610e-01
  3513.000  3.91820e-01
  3514.000  3.86090e-01
  3515.000  3.91090e-01
  3516.000  4.04350e-01
  3517.000  4.22540e-01
  3518.000  4.37860e-01
  3519.000  4.40100e-01
  3520.000  4.31180e-01
  3521.000  4.17490e-01
  3522.000  3.99550e-01
  3523.000  3.82150e-01
  3524.000  3.68750e-01
  3525.000  3.56560e-01
  3526.000  3.53780e-01
  3527.000  3.63210e-01
  3528.000  3.82260e-01
  3529.000  4.03860e-01
  3530.000  4.17670e-01
  3531.000  4.21200e-01
