# dobos/SF4  |  Dobos et al. 2012, MNRAS 420, 1217 (SDSS composites)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  3550.000  5.22130e-01
  3551.000  5.40280e-01
  3552.000  5.02870e-01
  3553.000  5.07520e-01
  3554.000  4.83620e-01
  3555.000  4.49560e-01
  3556.000  5.43080e-01
  3557.000  4.79960e-01
  3558.000  4.48990e-01
  3559.000  5.25310e-01
  3560.000  5.51830e-01
  3561.000  5.85120e-01
  3562.000  4.77200e-01
  3563.000  4.65870e-01
  3564.000  5.30030e-01
  3565.000  5.10500e-01
  3566.000  5.72790e-01
  3567.000  5.07310e-01
  3568.000  4.91760e-01
  3569.000  5.04660e-01
  3570.000  4.99700e-01
  3571.000  4.98130e-01
  3572.000  4.23910e-01
  3573.000  4.90390e-01
  3574.000  5.38690e-01
  3575.000  5.15570e-01
  3576.000  5.19380e-01
  3577.000  4.86140e-01
  3578.000  4.90280e-01
  3579.000  5.05600e-01
  3580.000  4.98050e-01
  3581.000  4.44410e-01
  3582.000  4.51890e-01
  3583.000  4.69100e-01
  3584.000  4.73360e-01
  3585.000  4.52140e-01
  3586.000  4.35960e-01
  3587.000  4.27460e-01
  3588.000  4.31190e-01
  3589.000  4.58060e-01
  3590.000  4.67950e-01
  3591.000  5.07930e-01
  3592.000  5.16850e-01
  3593.000  5.20270e-01
  3594.000  5.23050e-01
  3595.000  5.21550e-01
  3596.000  5.34150e-01
  3597.000  5.43350e-01
  3598.000  5.41040e-01
  3599.000  5.53490e-01
  3600.000  5.61870e-01
  3601.000  5.49570e-01
  3602.000  5.35590e-01
  3603.000  5.23820e-01
  3604.000  5.14880e-01
  3605.000  5.06330e-01
  3606.000  5.01140e-01
  3607.000  5.03370e-01
  3608.000  5.02480e-01
  3609.000  5.00060e-01
  3610.000  4.94950e-01
  3611.000  4.88870e-01
  3612.000  5.03180e-01
  3613.000  5.07370e-01
  3614.000  5.05700e-01
  3615.000  5.15380e-01
  3616.000  5.19240e-01
  3617.000  5.19000e-01
  3618.000  4.98000e-01
  3619.000  4.85810e-01
  3620.000  4.84070e-01
  3621.000  4.95540e-01
  3622.000  5.04780e-01
  3623.000  5.28250e-01
  3624.000  5.37090e-01
  3625.000  5.46060e-01
  3626.000  5.49390e-01
  3627.000  5.63740e-01
  3628.000  5.77690e-01
  3629.000  5.69480e-01
  3630.000  5.45770e-01
  3631.000  5.16510e-01
  3632.000  4.86790e-01
  3633.000  4.84290e-01
  3634.000  4.92610e-01
