# kc96/bulge  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  1.98050e-15
  1240.000  2.52880e-15
  1245.000  2.23103e-15
  1250.000  1.97915e-15
  1255.000  1.85267e-15
  1260.000  1.68182e-15
  1265.000  1.51696e-15
  1270.000  1.80938e-15
  1275.000  2.05070e-15
  1280.000  2.53565e-15
  1285.000  2.24681e-15
  1290.000  2.25162e-15
  1295.000  1.71698e-15
  1300.000  1.24935e-15
  1305.000  1.23328e-15
  1310.000  1.61463e-15
  1315.000  1.81329e-15
  1320.000  1.78082e-15
  1325.000  1.69301e-15
  1330.000  1.36399e-15
  1335.000  1.39156e-15
  1340.000  1.68258e-15
  1345.000  1.77985e-15
  1350.000  1.60286e-15
  1355.000  1.91117e-15
  1360.000  1.82720e-15
  1365.000  1.77854e-15
  1370.000  1.68504e-15
  1375.000  1.75877e-15
  1380.000  1.77918e-15
  1385.000  1.40464e-15
  1390.000  1.34266e-15
  1395.000  1.36280e-15
  1400.000  1.21652e-15
  1405.000  1.65516e-15
  1410.000  1.31854e-15
  1415.000  1.24936e-15
  1420.000  1.42035e-15
  1425.000  1.28362e-15
  1430.000  1.45674e-15
  1435.000  1.38145e-15
  1440.000  1.80636e-15
  1445.000  1.45172e-15
  1450.000  1.49855e-15
  1455.000  1.54296e-15
  1460.000  1.32759e-15
  1465.000  1.52861e-15
  1470.000  1.56656e-15
  1475.000  1.46718e-15
  1480.000  1.64481e-15
  1485.000  1.67621e-15
  1490.000  1.33308e-15
  1495.000  1.56103e-15
  1500.000  1.57235e-15
  1505.000  1.30117e-15
  1510.000  1.32766e-15
  1515.000  1.58568e-15
  1520.000  1.63092e-15
  1525.000  1.00831e-15
  1530.000  1.19694e-15
  1535.000  1.19560e-15
  1540.000  9.90519e-16
  1545.000  1.18883e-15
  1550.000  1.01100e-15
  1555.000  1.39190e-15
  1560.000  1.45402e-15
  1565.000  1.28364e-15
  1570.000  1.42470e-15
  1575.000  1.47301e-15
  1580.000  1.20202e-15
  1585.000  1.32196e-15
  1590.000  1.41441e-15
  1595.000  1.31194e-15
  1600.000  9.11480e-16
  1605.000  1.04167e-15
  1610.000  7.62422e-16
  1615.000  1.08764e-15
  1620.000  1.12105e-15
  1625.000  9.67441e-16
  1630.000  1.03983e-15
  1635.000  1.07570e-15
  1640.000  7.47053e-16
  1645.000  1.17840e-15
  1650.000  1.18999e-15
