# kc96/elliptical  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  3.83947e-15
  1240.000  3.01396e-15
  1245.000  2.64838e-15
  1250.000  3.12707e-15
  1255.000  3.19167e-15
  1260.000  2.44093e-15
  1265.000  3.24012e-15
  1270.000  3.42013e-15
  1275.000  3.93495e-15
  1280.000  2.82319e-15
  1285.000  2.52227e-15
  1290.000  2.37585e-15
  1295.000  1.96729e-15
  1300.000  2.04593e-15
  1305.000  1.97195e-15
  1310.000  1.75085e-15
  1315.000  2.22654e-15
  1320.000  2.43409e-15
  1325.000  1.90108e-15
  1330.000  1.53253e-15
  1335.000  1.61950e-15
  1340.000  2.02034e-15
  1345.000  2.19865e-15
  1350.000  2.00520e-15
  1355.000  2.08124e-15
  1360.000  2.04856e-15
  1365.000  1.42705e-15
  1370.000  1.46487e-15
  1375.000  1.81722e-15
  1380.000  2.01431e-15
  1385.000  1.51710e-15
  1390.000  1.76848e-15
  1395.000  2.06698e-15
  1400.000  1.43356e-15
  1405.000  1.02600e-15
  1410.000  1.51840e-15
  1415.000  1.34583e-15
  1420.000  1.83543e-15
  1425.000  1.68873e-15
  1430.000  2.18554e-15
  1435.000  1.77131e-15
  1440.000  1.52725e-15
  1445.000  2.28941e-15
  1450.000  1.67864e-15
  1455.000  2.13282e-15
  1460.000  2.20924e-15
  1465.000  2.05215e-15
  1470.000  2.37338e-15
  1475.000  2.56353e-15
  1480.000  2.97299e-15
  1485.000  2.05330e-15
  1490.000  1.62611e-15
  1495.000  1.34823e-15
  1500.000  1.69268e-15
  1505.000  2.50881e-15
  1510.000  1.80420e-15
  1515.000  1.25241e-15
  1520.000  1.35366e-15
  1525.000  1.71199e-15
  1530.000  2.65560e-15
  1535.000  2.04347e-15
  1540.000  1.45000e-15
  1545.000  2.32190e-15
  1550.000  2.13163e-15
  1555.000  1.35992e-15
  1560.000  9.86271e-16
  1565.000  1.18972e-15
  1570.000  1.50144e-15
  1575.000  1.74436e-15
  1580.000  1.71762e-15
  1585.000  1.64373e-15
  1590.000  2.62768e-15
