# kc96/s0  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  6.06886e-15
  1240.000  4.53880e-15
  1245.000  3.10335e-15
  1250.000  1.42125e-15
  1255.000  2.09611e-15
  1260.000  2.29062e-15
  1265.000  1.80057e-15
  1270.000  1.31926e-15
  1275.000  1.51207e-15
  1280.000  2.06598e-15
  1285.000  3.30560e-15
  1290.000  1.10701e-15
  1295.000  1.30860e-15
  1300.000  1.18489e-15
  1305.000  5.97110e-16
  1310.000  1.83521e-15
  1315.000  1.78962e-15
  1320.000  2.14714e-15
  1325.000  1.58646e-15
  1330.000  3.81814e-16
  1335.000  8.80836e-17
  1340.000  1.35762e-15
  1345.000  7.67524e-16
  1350.000  2.30586e-16
  1355.000  1.00734e-15
  1360.000  9.56574e-16
  1365.000  1.43190e-15
  1370.000  1.43239e-15
  1375.000  9.22091e-16
  1380.000  1.83538e-15
  1385.000  2.62325e-15
  1390.000  2.61489e-15
  1395.000  1.65465e-15
  1400.000  1.43780e-15
  1405.000  7.34613e-16
  1410.000  5.09791e-16
  1415.000  5.99298e-16
  1420.000  2.66477e-16
  1425.000  1.95446e-16
  1430.000  1.15568e-15
  1435.000  9.91409e-16
  1440.000  1.47805e-15
  1445.000  1.95037e-15
  1450.000  1.51823e-15
  1455.000  1.60984e-15
  1460.000  2.53360e-15
  1465.000  1.32705e-15
  1470.000  1.30083e-15
  1475.000  1.30727e-15
  1480.000  1.48283e-15
  1485.000  7.59939e-16
  1490.000  1.84527e-15
  1495.000  1.09682e-15
  1500.000  4.36101e-16
  1505.000  1.45271e-15
  1510.000  2.46165e-15
  1515.000  2.17028e-15
  1520.000  8.98158e-16
  1525.000  7.30661e-17
  1530.000  1.84497e-16
  1535.000  5.29678e-16
  1540.000  2.11906e-15
  1545.000  2.13605e-15
  1550.000  9.55064e-16
  1555.000  1.69634e-15
  1560.000  3.40762e-16
  1565.000  7.38162e-16
  1570.000  1.11617e-15
  1575.000  7.49829e-16
  1580.000  1.10921e-15
  1585.000  7.52245e-16
  1590.000  1.05329e-15
  1595.000  1.98519e-15
  1600.000  2.41096e-15
  1605.000  8.70849e-16
  1610.000  8.28690e-16
  1615.000  1.60978e-15
  1620.000  1.45494e-15
  1625.000  5.10246e-16
  1630.000  3.85321e-16
  1635.000  1.92805e-16
  1640.000  1.77084e-15
  1645.000  9.84764e-16
  1650.000  8.09367e-16
  1655.000  2.93033e-15
  1660.000  1.27351e-15
  1665.000  2.10953e-15
  1670.000  8.27645e-16
  1675.000  1.08807e-15
  1680.000  8.72409e-16
  1685.000  1.42246e-16
  1690.000  4.52984e-16
  1695.000  1.16852e-15
  1700.000  6.83370e-16
  1705.000  1.01357e-15
  1710.000  9.43404e-16
  1715.000  1.31762e-15
  1720.000  1.18853e-15
  1725.000  2.24048e-15
  1730.000  1.83125e-15
  1735.000  2.44220e-16
  1740.000  2.47270e-15
  1745.000  2.63410e-15
  1750.000  1.59690e-15
  1755.000  1.61297e-15
  1760.000  1.29365e-15
  1765.000  1.19315e-15
  1770.000  1.53617e-15
  1775.000  7.35393e-16
  1780.000  5.07565e-16
  1785.000  5.20069e-16
  1790.000  6.08358e-16
  1795.000  6.78747e-16
  1800.000  5.89606e-16
  1805.000  9.19648e-16
  1810.000  2.25121e-15
  1815.000  2.14532e-15
  1820.000  1.69943e-15
  1825.000  1.01400e-15
  1830.000  1.23348e-15
  1835.000  9.12160e-16
  1840.000  1.20172e-15
  1845.000  1.40043e-15
  1850.000  1.07600e-15
  1855.000  8.09218e-16
  1860.000  3.35816e-16
  1865.000  5.89733e-16
  1870.000  1.06481e-15
  1875.000  1.54742e-15
  1880.000  1.75857e-15
  1885.000  1.29846e-15
  1890.000  1.63761e-15
  1895.000  1.68208e-15
  1900.000  1.03602e-15
  1905.000  1.77464e-15
  1910.000  1.27745e-15
  1915.000  5.45724e-16
  1920.000  8.24529e-16
  1925.000  9.99159e-16
  1930.000  4.23658e-16
  1935.000  1.33915e-16
  1940.000  6.42725e-16
  1945.000  1.22361e-15
  1950.000  1.18900e-15
  1955.000  6.80026e-16
  1960.000  7.82724e-16
  1965.000  1.92740e-15
  1970.000  4.35744e-15
  1975.000  1.81679e-15
  1980.000  7.08231e-16
  1985.000  1.73234e-15
  1990.000  2.69027e-15
  1995.000  2.22813e-15
  2000.000  8.63206e-16
  2005.000  1.16901e-15
  2010.000  1.53585e-15
  2015.000  5.12299e-16
  2020.000  2.59274e-15
  2025.000  1.83829e-15
  2030.000  1.47428e-15
  2035.000  2.42638e-15
  2040.000  1.78474e-15
  2045.000  2.44096e-15
  2050.000  2.31335e-15
  2055.000  2.74877e-15
  2060.000  1.65210e-15
  2065.000  1.08514e-15
  2070.000  1.28716e-15
  2075.000  1.82683e-15
  2080.000  2.36364e-15
  2085.000  2.08040e-15
  2090.000  1.55244e-15
  2095.000  1.06956e-15
  2100.000  8.17491e-16
  2105.000  1.67572e-15
  2110.000  2.61719e-15
  2115.000  1.21514e-15
  2120.000  8.85854e-16
  2125.000  2.19426e-15
  2130.000  2.66612e-15
  2135.000  2.60673e-15
  2140.000  8.77893e-16
  2145.000  2.16095e-15
  2150.000  1.99946e-15
  2155.000  5.98137e-16
  2160.000  8.98084e-16
  2165.000  9.15613e-16
  2170.000  1.95477e-15
  2175.000  2.36736e-15
  2180.000  3.13767e-15
  2185.000  3.35195e-15
  2190.000  4.00484e-15
  2195.000  3.16857e-15
  2200.000  3.38568e-15
  2205.000  2.78560e-15
  2210.000  2.67133e-15
  2215.000  2.52818e-15
  2220.000  2.32762e-15
  2225.000  1.54348e-15
  2230.000  3.35357e-15
  2235.000  2.71520e-15
  2240.000  2.18921e-15
  2245.000  3.62432e-15
  2250.000  2.48150e-15
  2255.000  3.39982e-15
  2260.000  1.98242e-15
  2265.000  1.59390e-15
  2270.000  8.84677e-16
  2275.000  1.76159e-15
  2280.000  2.59230e-16
  2285.000  1.46725e-15
  2290.000  1.40819e-15
  2295.000  2.44855e-15
  2300.000  2.41009e-15
  2305.000  1.58060e-15
  2310.000  2.30772e-15
  2315.000  1.71820e-15
  2320.000  7.81061e-16
  2325.000  1.99396e-15
  2330.000  2.37603e-15
  2335.000  1.32934e-15
  2340.000  2.24007e-15
  2345.000  1.94663e-15
  2350.000  1.31765e-15
  2355.000  6.73352e-16
  2360.000  1.15602e-15
  2365.000  9.85020e-16
  2370.000  1.48989e-15
  2375.000  1.74002e-15
  2380.000  2.28653e-15
  2385.000  1.03040e-15
  2390.000  1.70546e-15
  2395.000  2.60622e-15
  2400.000  2.03708e-15
  2405.000  1.19683e-15
  2410.000  1.21561e-15
  2415.000  1.54991e-15
  2420.000  2.37426e-15
  2425.000  2.28090e-15
  2430.000  2.28855e-15
  2435.000  1.59470e-15
  2440.000  2.09806e-15
  2445.000  1.71108e-15
  2450.000  9.71991e-16
  2455.000  1.85845e-15
  2460.000  2.34221e-15
  2465.000  1.78260e-15
  2470.000  1.75211e-15
