# kc96/sa  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  5.80914e-15
  1240.000  6.25373e-15
  1245.000  5.57547e-15
  1250.000  3.77336e-15
  1255.000  3.22558e-15
  1260.000  2.49457e-15
  1265.000  3.53360e-15
  1270.000  3.64131e-15
  1275.000  4.86871e-15
  1280.000  5.49912e-15
  1285.000  4.71830e-15
  1290.000  3.52156e-15
  1295.000  3.80028e-15
  1300.000  3.06634e-15
  1305.000  1.83456e-15
  1310.000  3.20353e-15
  1315.000  3.66254e-15
  1320.000  3.25918e-15
  1325.000  2.87395e-15
  1330.000  2.87236e-15
  1335.000  2.73816e-15
  1340.000  2.90326e-15
  1345.000  3.46505e-15
  1350.000  3.60799e-15
  1355.000  3.23243e-15
  1360.000  2.72499e-15
  1365.000  2.44912e-15
  1370.000  3.31569e-15
  1375.000  2.60862e-15
  1380.000  3.03237e-15
  1385.000  2.71753e-15
  1390.000  2.74688e-15
  1395.000  2.51245e-15
  1400.000  2.17449e-15
  1405.000  1.14859e-15
  1410.000  2.95876e-15
  1415.000  2.09465e-15
  1420.000  2.61001e-15
  1425.000  3.20483e-15
  1430.000  3.00420e-15
  1435.000  3.32438e-15
  1440.000  3.62699e-15
  1445.000  4.24715e-15
  1450.000  3.33321e-15
  1455.000  3.03303e-15
  1460.000  5.00852e-15
  1465.000  4.87967e-15
  1470.000  3.94652e-15
  1475.000  3.83891e-15
  1480.000  2.92187e-15
  1485.000  4.33178e-15
  1490.000  4.15703e-15
  1495.000  4.06593e-15
  1500.000  3.25656e-15
  1505.000  2.62820e-15
  1510.000  2.36607e-15
  1515.000  4.07711e-15
  1520.000  3.64982e-15
  1525.000  3.33847e-15
  1530.000  4.12776e-15
  1535.000  3.88212e-15
  1540.000  3.64404e-15
  1545.000  3.67267e-15
  1550.000  3.34955e-15
  1555.000  1.67020e-15
  1560.000  4.67243e-15
  1565.000  2.27730e-15
  1570.000  2.29362e-15
  1575.000  2.47285e-15
  1580.000  8.64088e-16
  1585.000  3.17276e-15
  1590.000  2.71516e-15
  1595.000  3.47774e-15
  1600.000  3.87444e-15
  1605.000  2.64068e-15
  1610.000  3.51035e-15
  1615.000  3.08138e-15
  1620.000  3.18991e-15
  1625.000  2.90547e-15
  1630.000  2.91340e-15
  1635.000  3.14032e-15
  1640.000  2.90009e-15
  1645.000  2.79056e-15
  1650.000  3.57808e-15
  1655.000  4.33674e-15
  1660.000  3.24025e-15
  1665.000  2.35036e-15
  1670.000  2.89301e-15
  1675.000  2.99220e-15
  1680.000  3.42116e-15
  1685.000  3.21628e-15
  1690.000  1.84737e-15
  1695.000  2.81580e-15
  1700.000  3.16415e-15
  1705.000  3.60078e-15
  1710.000  3.06302e-15
  1715.000  3.57392e-15
  1720.000  3.35909e-15
  1725.000  2.74717e-15
  1730.000  4.07898e-15
  1735.000  4.04418e-15
  1740.000  4.45582e-15
  1745.000  4.36253e-15
  1750.000  3.89958e-15
  1755.000  3.50609e-15
  1760.000  3.51784e-15
  1765.000  3.71361e-15
  1770.000  3.77449e-15
  1775.000  3.98207e-15
  1780.000  3.22418e-15
  1785.000  3.00980e-15
  1790.000  3.56820e-15
  1795.000  3.37090e-15
  1800.000  3.61170e-15
  1805.000  3.61111e-15
  1810.000  3.37557e-15
  1815.000  3.91571e-15
  1820.000  3.89449e-15
  1825.000  3.61082e-15
  1830.000  3.58152e-15
  1835.000  3.36568e-15
  1840.000  3.08891e-15
  1845.000  3.25182e-15
  1850.000  3.28403e-15
  1855.000  3.30340e-15
  1860.000  3.21869e-15
  1865.000  2.88197e-15
  1870.000  3.23323e-15
  1875.000  3.68788e-15
  1880.000  3.31991e-15
  1885.000  3.54670e-15
  1890.000  3.11591e-15
  1895.000  3.51099e-15
  1900.000  3.22754e-15
  1905.000  4.16257e-15
  1910.000  3.69949e-15
  1915.000  2.71634e-15
  1920.000  2.61183e-15
  1925.000  2.91934e-15
  1930.000  2.84704e-15
  1935.000  2.83884e-15
  1940.000  2.73274e-15
  1945.000  3.05230e-15
  1950.000  3.31399e-15
  1955.000  3.52061e-15
