# kc96/sb  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  1.84115e-14
  1240.000  1.44759e-14
  1245.000  1.20651e-14
  1250.000  7.71414e-15
  1255.000  1.60945e-14
  1260.000  1.07346e-14
  1265.000  1.17381e-14
  1270.000  7.58519e-15
  1275.000  1.76951e-14
  1280.000  9.44541e-15
  1285.000  1.33981e-14
  1290.000  7.50596e-15
  1295.000  6.39128e-15
  1300.000  7.28019e-15
  1305.000  8.00866e-15
  1310.000  4.52644e-15
  1315.000  7.12824e-15
  1320.000  3.60138e-15
  1325.000  6.57896e-15
  1330.000  3.06919e-15
  1335.000  6.39614e-15
  1340.000  1.27411e-14
  1345.000  6.39698e-15
  1350.000  7.84791e-15
  1355.000  1.02328e-14
  1360.000  8.50229e-15
  1365.000  9.04137e-15
  1370.000  7.75369e-15
  1375.000  1.03518e-14
  1380.000  1.52828e-14
  1385.000  6.02037e-15
  1390.000  5.65748e-15
  1395.000  3.25637e-15
  1400.000  5.89904e-15
  1405.000  8.05155e-15
  1410.000  9.46574e-15
  1415.000  1.49472e-15
  1420.000  5.37886e-15
  1425.000  7.21081e-15
  1430.000  5.41619e-15
  1435.000  1.04251e-14
  1440.000  1.05315e-14
  1445.000  1.57327e-14
  1450.000  1.14103e-14
  1455.000  5.94158e-15
  1460.000  1.02998e-14
  1465.000  4.08918e-15
  1470.000  1.29466e-14
  1475.000  1.83563e-14
  1480.000  1.57099e-14
  1485.000  1.28493e-14
  1490.000  1.48509e-14
  1495.000  1.43097e-14
  1500.000  7.03075e-15
  1505.000  1.20408e-14
  1510.000  5.92761e-15
  1515.000  2.02415e-15
  1520.000  1.15150e-14
  1525.000  1.27426e-14
  1530.000  9.29437e-15
  1535.000  1.14408e-14
  1540.000  9.67448e-15
  1545.000  9.46378e-15
  1550.000  7.99669e-15
  1555.000  8.28666e-15
  1560.000  2.10866e-15
  1565.000  7.84958e-15
  1570.000  1.19525e-14
  1575.000  6.23511e-15
  1580.000  8.64903e-15
  1585.000  1.18605e-14
  1590.000  4.99150e-15
  1595.000  3.26333e-15
  1600.000  1.29239e-14
  1605.000  6.43215e-15
  1610.000  5.21604e-15
  1615.000  1.02313e-14
  1620.000  2.15915e-15
  1625.000  2.87566e-15
  1630.000  6.98633e-15
  1635.000  2.07143e-15
  1640.000  4.06821e-15
  1645.000  2.72692e-15
  1650.000  3.89226e-15
  1655.000  7.24040e-15
  1660.000  1.09743e-14
  1665.000  1.01851e-14
  1670.000  6.14833e-15
  1675.000  2.17373e-15
  1680.000  7.49833e-15
  1685.000  2.61980e-15
  1690.000  5.72279e-15
  1695.000  8.99987e-15
  1700.000  6.26341e-15
  1705.000  6.32360e-15
  1710.000  5.72100e-15
  1715.000  7.06515e-15
  1720.000  1.32549e-14
  1725.000  1.10493e-14
  1730.000  1.05474e-14
  1735.000  9.68394e-15
  1740.000  1.05506e-14
  1745.000  8.47363e-15
  1750.000  1.01527e-14
  1755.000  9.58561e-15
  1760.000  7.15574e-15
  1765.000  5.62685e-15
  1770.000  5.50657e-15
  1775.000  6.10987e-15
  1780.000  9.40587e-15
  1785.000  4.96600e-15
  1790.000  2.83843e-15
  1795.000  6.22377e-15
  1800.000  6.02871e-15
  1805.000  8.24538e-15
  1810.000  7.14958e-15
  1815.000  6.71453e-15
  1820.000  7.35382e-15
  1825.000  7.91913e-15
  1830.000  9.53235e-15
  1835.000  7.18596e-15
  1840.000  5.79443e-15
  1845.000  7.07693e-15
  1850.000  5.78000e-15
  1855.000  3.47035e-15
  1860.000  9.23136e-15
  1865.000  7.70818e-15
  1870.000  9.56516e-15
  1875.000  8.70633e-15
  1880.000  7.23587e-15
  1885.000  7.84731e-15
  1890.000  8.88736e-15
  1895.000  6.67593e-15
  1900.000  6.29152e-15
