# kc96/sc  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  4.35010e-14
  1240.000  5.45414e-14
  1245.000  4.53988e-14
  1250.000  4.64340e-14
  1255.000  4.65301e-14
  1260.000  3.58600e-14
  1265.000  4.36689e-14
  1270.000  4.44563e-14
  1275.000  4.20785e-14
  1280.000  5.94811e-14
  1285.000  6.14038e-14
  1290.000  5.16117e-14
  1295.000  3.07679e-14
  1300.000  3.39089e-14
  1305.000  4.13717e-14
  1310.000  4.13750e-14
  1315.000  4.22892e-14
  1320.000  4.64063e-14
  1325.000  4.46305e-14
  1330.000  5.14463e-14
  1335.000  4.28305e-14
  1340.000  5.14336e-14
  1345.000  5.38069e-14
  1350.000  5.31120e-14
  1355.000  4.72175e-14
  1360.000  4.51973e-14
  1365.000  4.55491e-14
  1370.000  4.89309e-14
  1375.000  4.77603e-14
  1380.000  4.00389e-14
  1385.000  4.07901e-14
  1390.000  3.41183e-14
  1395.000  1.16016e-14
  1400.000  3.21789e-14
  1405.000  4.33916e-14
  1410.000  3.22254e-14
  1415.000  3.99994e-14
  1420.000  4.47478e-14
  1425.000  4.13170e-14
  1430.000  4.60478e-14
  1435.000  4.35591e-14
  1440.000  4.97832e-14
  1445.000  4.55366e-14
  1450.000  4.07680e-14
  1455.000  3.16519e-14
  1460.000  3.46890e-14
  1465.000  5.06651e-14
  1470.000  4.36596e-14
  1475.000  5.17470e-14
  1480.000  5.12642e-14
  1485.000  6.16188e-14
  1490.000  5.68883e-14
  1495.000  6.09037e-14
  1500.000  4.33183e-14
  1505.000  3.70688e-14
  1510.000  5.11282e-14
  1515.000  6.57615e-14
  1520.000  5.78040e-14
  1525.000  2.91601e-14
  1530.000  2.73058e-14
  1535.000  6.64809e-14
  1540.000  4.20869e-14
  1545.000  3.26442e-14
  1550.000  3.71865e-14
  1555.000  4.07243e-14
  1560.000  4.15326e-14
  1565.000  4.59552e-14
  1570.000  4.07017e-14
  1575.000  4.62092e-14
  1580.000  5.81412e-14
  1585.000  4.87306e-14
  1590.000  3.99207e-14
  1595.000  3.47104e-14
  1600.000  4.21552e-14
  1605.000  5.09233e-14
  1610.000  3.50001e-14
  1615.000  4.27437e-14
  1620.000  4.19049e-14
  1625.000  3.77922e-14
  1630.000  4.00663e-14
  1635.000  3.65679e-14
  1640.000  3.94790e-14
  1645.000  4.65281e-14
  1650.000  4.87835e-14
  1655.000  4.16355e-14
  1660.000  4.85478e-14
  1665.000  3.89236e-14
  1670.000  4.10427e-14
  1675.000  4.55485e-14
  1680.000  4.42796e-14
  1685.000  3.39479e-14
  1690.000  2.84973e-14
  1695.000  4.22739e-14
  1700.000  4.61484e-14
  1705.000  3.99817e-14
  1710.000  3.78729e-14
  1715.000  3.81995e-14
  1720.000  4.08691e-14
  1725.000  3.58111e-14
  1730.000  5.45660e-14
  1735.000  5.34524e-14
  1740.000  5.08365e-14
  1745.000  5.63123e-14
  1750.000  4.03573e-14
  1755.000  4.00185e-14
  1760.000  4.86522e-14
  1765.000  5.81999e-14
  1770.000  5.42445e-14
  1775.000  4.78352e-14
  1780.000  4.74838e-14
  1785.000  3.90133e-14
  1790.000  3.75897e-14
  1795.000  4.12701e-14
