# kc96/starb1  |  Kinney et al. 1996, ApJ 467, 38 (starb: Calzetti et al. 1994)
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1235.000  2.07883e-13
  1240.000  2.33532e-13
  1245.000  2.20944e-13
  1250.000  2.17563e-13
  1255.000  2.10140e-13
  1260.000  2.19641e-13
  1265.000  2.33484e-13
  1270.000  2.37250e-13
  1275.000  2.44827e-13
  1280.000  2.31169e-13
  1285.000  2.25731e-13
  1290.000  2.06900e-13
  1295.000  1.93130e-13
  1300.000  1.72665e-13
  1305.000  2.00547e-13
  1310.000  2.20864e-13
  1315.000  2.24119e-13
  1320.000  2.00494e-13
  1325.000  2.07673e-13
  1330.000  1.95017e-13
  1335.000  1.84143e-13
  1340.000  1.96925e-13
  1345.000  2.03427e-13
  1350.000  2.12621e-13
  1355.000  2.04335e-13
  1360.000  2.05173e-13
  1365.000  2.00670e-13
  1370.000  1.95761e-13
  1375.000  1.86345e-13
  1380.000  1.83758e-13
  1385.000  1.69643e-13
  1390.000  1.56661e-13
  1395.000  1.63603e-13
  1400.000  1.72424e-13
  1405.000  1.75593e-13
  1410.000  1.83896e-13
  1415.000  1.79063e-13
  1420.000  1.89160e-13
  1425.000  1.80905e-13
  1430.000  1.92734e-13
  1435.000  1.90789e-13
  1440.000  1.85880e-13
  1445.000  1.94064e-13
  1450.000  1.98544e-13
  1455.000  1.90707e-13
  1460.000  1.94513e-13
  1465.000  1.92335e-13
  1470.000  2.01958e-13
  1475.000  1.95009e-13
  1480.000  2.03533e-13
  1485.000  2.07844e-13
  1490.000  1.95581e-13
  1495.000  1.79172e-13
  1500.000  1.79707e-13
  1505.000  1.90478e-13
  1510.000  1.74177e-13
  1515.000  1.72666e-13
  1520.000  1.70013e-13
  1525.000  1.66997e-13
  1530.000  1.58009e-13
  1535.000  1.50944e-13
  1540.000  1.35673e-13
  1545.000  1.23676e-13
  1550.000  1.43469e-13
  1555.000  1.82448e-13
  1560.000  1.64707e-13
  1565.000  1.62810e-13
  1570.000  1.64791e-13
  1575.000  1.59086e-13
  1580.000  1.53759e-13
  1585.000  1.60470e-13
  1590.000  1.54008e-13
  1595.000  1.43716e-13
  1600.000  1.49708e-13
  1605.000  1.41975e-13
  1610.000  1.38704e-13
  1615.000  1.49000e-13
  1620.000  1.41991e-13
  1625.000  1.42565e-13
  1630.000  1.43396e-13
  1635.000  1.50442e-13
  1640.000  1.55013e-13
  1645.000  1.58764e-13
  1650.000  1.56118e-13
  1655.000  1.40426e-13
  1660.000  1.48791e-13
  1665.000  1.51396e-13
  1670.000  1.36116e-13
  1675.000  1.42170e-13
  1680.000  1.48357e-13
  1685.000  1.44317e-13
  1690.000  1.38394e-13
  1695.000  1.41846e-13
  1700.000  1.41798e-13
  1705.000  1.40428e-13
  1710.000  1.37731e-13
  1715.000  1.33894e-13
  1720.000  1.43197e-13
  1725.000  1.38458e-13
  1730.000  1.50891e-13
  1735.000  1.45747e-13
  1740.000  1.40640e-13
  1745.000  1.41986e-13
  1750.000  1.44694e-13
  1755.000  1.50720e-13
  1760.000  1.39290e-13
  1765.000  1.38415e-13
  1770.000  1.33804e-13
  1775.000  1.18484e-13
  1780.000  1.32151e-13
  1785.000  1.36032e-13
  1790.000  1.32844e-13
  1795.000  1.31181e-13
  1800.000  1.34515e-13
  1805.000  1.34605e-13
  1810.000  1.32283e-13
  1815.000  1.29761e-13
  1820.000  1.28920e-13
  1825.000  1.26710e-13
  1830.000  1.27419e-13
  1835.000  1.22437e-13
  1840.000  1.22988e-13
  1845.000  1.20079e-13
  1850.000  1.15901e-13
  1855.000  1.15747e-13
  1860.000  1.15463e-13
  1865.000  1.17576e-13
  1870.000  1.18626e-13
  1875.000  1.17807e-13
  1880.000  1.21638e-13
  1885.000  1.16831e-13
  1890.000  1.12809e-13
  1895.000  1.13898e-13
  1900.000  1.17441e-13
  1905.000  1.31982e-13
  1910.000  1.27763e-13
  1915.000  1.08127e-13
  1920.000  1.02297e-13
  1925.000  1.03753e-13
  1930.000  9.95911e-14
  1935.000  1.09898e-13
  1940.000  1.13776e-13
  1945.000  1.14274e-13
  1950.000  1.10127e-13
  1955.000  1.04831e-13
  1960.000  1.02249e-13
  1965.000  9.06116e-14
  1970.000  7.49672e-14
  1975.000  7.72588e-14
  1980.000  1.05770e-13
  1985.000  1.08029e-13
  1990.000  1.14008e-13
  1995.000  1.19521e-13
  2000.000  1.05818e-13
  2005.000  1.17360e-13
