# pickles/a0i  |  Pickles 1998, PASP 110, 863
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1150.000  5.92072e-01
  1155.000  4.17228e-01
  1160.000  2.11190e-01
  1165.000  6.69980e-02
  1170.000  1.06548e-01
  1175.000  1.10767e-01
  1180.000  8.08650e-02
  1185.000  4.69250e-02
  1190.000  0.00000e+00
  1195.000  0.00000e+00
  1200.000  3.78780e-02
  1205.000  4.03230e-02
  1210.000  2.19980e-02
  1215.000  3.27090e-02
  1220.000  4.85830e-02
  1225.000  5.57050e-02
  1230.000  8.14940e-02
  1235.000  1.15885e-01
  1240.000  1.47335e-01
  1245.000  2.23400e-01
  1250.000  2.73544e-01
  1255.000  1.85842e-01
  1260.000  1.43533e-01
  1265.000  2.86655e-01
  1270.000  3.59203e-01
  1275.000  4.54170e-01
  1280.000  6.06317e-01
  1285.000  5.47385e-01
  1290.000  4.69024e-01
  1295.000  4.28064e-01
  1300.000  3.08515e-01
  1305.000  2.85072e-01
  1310.000  5.52734e-01
  1315.000  6.77680e-01
  1320.000  6.95504e-01
  1325.000  6.78829e-01
  1330.000  6.56278e-01
  1335.000  7.93671e-01
  1340.000  9.17487e-01
  1345.000  8.50328e-01
  1350.000  8.41852e-01
  1355.000  8.33206e-01
  1360.000  6.65728e-01
  1365.000  6.25251e-01
  1370.000  6.84877e-01
  1375.000  7.60438e-01
  1380.000  7.64945e-01
  1385.000  8.48479e-01
  1390.000  8.30626e-01
  1395.000  8.35166e-01
  1400.000  8.74116e-01
  1405.000  8.92390e-01
  1410.000  8.01294e-01
  1415.000  7.59252e-01
  1420.000  8.30469e-01
  1425.000  9.31009e-01
  1430.000  7.87169e-01
  1435.000  8.20708e-01
  1440.000  9.42264e-01
  1445.000  1.08186e+00
  1450.000  1.22547e+00
  1455.000  1.25692e+00
  1460.000  1.12069e+00
  1465.000  9.54820e-01
  1470.000  9.79990e-01
  1475.000  1.00663e+00
  1480.000  1.05388e+00
  1485.000  1.17312e+00
  1490.000  1.24238e+00
  1495.000  1.30925e+00
  1500.000  1.24314e+00
  1505.000  1.05545e+00
  1510.000  9.74679e-01
  1515.000  1.09469e+00
  1520.000  1.13958e+00
  1525.000  1.04404e+00
  1530.000  1.00356e+00
  1535.000  1.10858e+00
  1540.000  1.20702e+00
  1545.000  1.11275e+00
  1550.000  1.06228e+00
  1555.000  9.77644e-01
  1560.000  9.03925e-01
  1565.000  9.38775e-01
  1570.000  9.03950e-01
  1575.000  1.03895e+00
  1580.000  1.15714e+00
  1585.000  1.16724e+00
  1590.000  1.16608e+00
  1595.000  1.11151e+00
  1600.000  1.05450e+00
  1605.000  1.04159e+00
  1610.000  1.05573e+00
  1615.000  1.05441e+00
  1620.000  9.81232e-01
  1625.000  1.02400e+00
  1630.000  1.00064e+00
  1635.000  1.00596e+00
  1640.000  9.64125e-01
  1645.000  9.62283e-01
  1650.000  9.00749e-01
  1655.000  8.13983e-01
  1660.000  9.22375e-01
  1665.000  9.79934e-01
  1670.000  8.85973e-01
  1675.000  1.01252e+00
  1680.000  1.09667e+00
  1685.000  1.06524e+00
  1690.000  1.03810e+00
  1695.000  1.06594e+00
  1700.000  1.08441e+00
  1705.000  1.04936e+00
  1710.000  9.86596e-01
  1715.000  9.33643e-01
  1720.000  9.06784e-01
  1725.000  9.72588e-01
  1730.000  9.89945e-01
