# pickles/a5v  |  Pickles 1998, PASP 110, 863
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1150.000  0.00000e+00
  1155.000  1.01120e-02
  1160.000  3.54760e-02
  1165.000  0.00000e+00
  1170.000  0.00000e+00
  1175.000  0.00000e+00
  1180.000  0.00000e+00
  1185.000  0.00000e+00
  1190.000  0.00000e+00
  1195.000  0.00000e+00
  1200.000  0.00000e+00
  1205.000  1.76700e-03
  1210.000  2.93370e-02
  1215.000  4.43920e-02
  1220.000  1.98190e-02
  1225.000  7.76000e-03
  1230.000  5.21900e-03
  1235.000  4.87000e-03
  1240.000  4.60000e-03
  1245.000  7.82000e-04
  1250.000  6.12900e-03
  1255.000  6.15000e-03
  1260.000  4.97400e-03
  1265.000  4.30500e-03
  1270.000  5.03500e-03
  1275.000  4.84200e-03
  1280.000  6.09600e-03
  1285.000  4.38400e-03
  1290.000  4.73800e-03
  1295.000  1.44000e-03
  1300.000  3.98300e-03
  1305.000  3.08400e-03
  1310.000  2.80400e-03
  1315.000  3.68100e-03
  1320.000  1.50300e-03
  1325.000  1.25900e-03
  1330.000  2.83600e-03
  1335.000  2.61100e-03
  1340.000  4.88900e-03
  1345.000  5.07800e-03
  1350.000  4.92500e-03
  1355.000  8.15500e-03
  1360.000  6.24300e-03
  1365.000  1.53500e-03
  1370.000  1.86200e-03
  1375.000  7.03000e-03
  1380.000  8.65800e-03
  1385.000  4.11900e-03
  1390.000  3.10400e-03
  1395.000  4.17200e-03
  1400.000  4.21300e-03
  1405.000  5.55100e-03
  1410.000  1.85000e-04
  1415.000  1.28400e-03
  1420.000  5.92000e-03
  1425.000  7.14800e-03
  1430.000  6.36800e-03
  1435.000  7.13300e-03
  1440.000  7.23000e-03
  1445.000  9.39800e-03
  1450.000  1.17230e-02
  1455.000  1.05060e-02
  1460.000  8.77600e-03
  1465.000  9.92200e-03
  1470.000  9.78700e-03
  1475.000  9.19700e-03
  1480.000  7.73900e-03
  1485.000  1.25020e-02
  1490.000  1.19600e-02
  1495.000  1.48530e-02
  1500.000  1.46640e-02
  1505.000  1.35810e-02
  1510.000  1.21380e-02
  1515.000  1.41140e-02
  1520.000  1.74570e-02
  1525.000  1.88650e-02
  1530.000  2.18960e-02
  1535.000  2.90580e-02
  1540.000  3.77990e-02
  1545.000  4.85300e-02
  1550.000  5.28480e-02
  1555.000  5.56610e-02
  1560.000  7.01540e-02
  1565.000  8.43740e-02
  1570.000  7.73620e-02
  1575.000  1.01298e-01
  1580.000  1.29886e-01
  1585.000  1.30405e-01
  1590.000  1.18892e-01
  1595.000  1.13174e-01
  1600.000  1.27537e-01
  1605.000  1.34704e-01
  1610.000  1.45274e-01
  1615.000  1.56276e-01
  1620.000  1.54464e-01
  1625.000  1.63653e-01
  1630.000  1.59630e-01
  1635.000  1.81385e-01
  1640.000  2.11569e-01
  1645.000  2.29657e-01
  1650.000  2.07432e-01
  1655.000  1.70190e-01
  1660.000  2.14272e-01
  1665.000  2.56604e-01
  1670.000  2.01546e-01
  1675.000  2.24185e-01
  1680.000  2.64055e-01
  1685.000  2.72627e-01
  1690.000  2.74305e-01
  1695.000  2.71454e-01
  1700.000  3.00772e-01
  1705.000  3.46971e-01
  1710.000  3.86861e-01
  1715.000  4.15251e-01
  1720.000  4.14083e-01
  1725.000  4.22559e-01
  1730.000  4.66747e-01
  1735.000  4.67921e-01
  1740.000  4.63205e-01
  1745.000  4.84484e-01
  1750.000  5.38499e-01
  1755.000  5.75736e-01
  1760.000  5.26849e-01
  1765.000  4.91737e-01
  1770.000  5.35064e-01
  1775.000  5.99999e-01
  1780.000  6.26271e-01
  1785.000  5.73795e-01
  1790.000  5.75837e-01
  1795.000  6.80539e-01
  1800.000  7.15476e-01
  1805.000  6.69150e-01
  1810.000  6.53244e-01
  1815.000  6.74579e-01
  1820.000  6.88930e-01
  1825.000  6.90887e-01
  1830.000  6.71984e-01
  1835.000  6.24731e-01
  1840.000  5.32140e-01
  1845.000  5.04905e-01
  1850.000  5.09707e-01
  1855.000  5.33169e-01
  1860.000  5.66599e-01
  1865.000  5.94493e-01
  1870.000  6.33111e-01
  1875.000  6.42245e-01
  1880.000  6.76764e-01
  1885.000  6.89008e-01
  1890.000  6.63292e-01
  1895.000  6.17595e-01
  1900.000  5.75150e-01
  1905.000  6.07594e-01
  1910.000  6.27012e-01
  1915.000  6.71350e-01
  1920.000  6.81233e-01
  1925.000  6.01963e-01
