# pickles/b0v  |  Pickles 1998, PASP 110, 863
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1150.000  1.68676e+02
  1155.000  1.33074e+02
  1160.000  1.13737e+02
  1165.000  1.11827e+02
  1170.000  9.99580e+01
  1175.000  7.95156e+01
  1180.000  8.66606e+01
  1185.000  9.65308e+01
  1190.000  8.92227e+01
  1195.000  7.94014e+01
  1200.000  7.98823e+01
  1205.000  7.32266e+01
  1210.000  5.82626e+01
  1215.000  3.36950e+01
  1220.000  5.30254e+01
  1225.000  8.37074e+01
  1230.000  9.09660e+01
  1235.000  9.39704e+01
  1240.000  9.31654e+01
  1245.000  8.99245e+01
  1250.000  8.65484e+01
  1255.000  8.70898e+01
  1260.000  8.98497e+01
  1265.000  9.40268e+01
  1270.000  9.34236e+01
  1275.000  9.28718e+01
  1280.000  9.25436e+01
  1285.000  9.05341e+01
  1290.000  9.13557e+01
  1295.000  8.61021e+01
  1300.000  8.06711e+01
  1305.000  8.38673e+01
  1310.000  9.21272e+01
  1315.000  8.90502e+01
  1320.000  8.81005e+01
  1325.000  8.36841e+01
  1330.000  8.45018e+01
  1335.000  7.80606e+01
  1340.000  7.69396e+01
  1345.000  7.67582e+01
  1350.000  7.68921e+01
  1355.000  7.74456e+01
  1360.000  7.52023e+01
  1365.000  7.46105e+01
  1370.000  7.41002e+01
  1375.000  7.17466e+01
  1380.000  7.03727e+01
  1385.000  6.67045e+01
  1390.000  5.99430e+01
  1395.000  5.01030e+01
  1400.000  5.27390e+01
  1405.000  5.43122e+01
  1410.000  6.00125e+01
  1415.000  6.14530e+01
  1420.000  5.93056e+01
  1425.000  5.69556e+01
  1430.000  5.57796e+01
  1435.000  5.92967e+01
  1440.000  5.85410e+01
  1445.000  5.81282e+01
  1450.000  5.76370e+01
  1455.000  5.63316e+01
  1460.000  5.59113e+01
  1465.000  5.58783e+01
  1470.000  5.63468e+01
  1475.000  5.65831e+01
  1480.000  5.58787e+01
  1485.000  5.58924e+01
  1490.000  5.70508e+01
  1495.000  5.48751e+01
  1500.000  5.12709e+01
  1505.000  5.05747e+01
  1510.000  5.15881e+01
  1515.000  5.11341e+01
  1520.000  5.19892e+01
  1525.000  4.82213e+01
  1530.000  4.40279e+01
  1535.000  4.23120e+01
