# pickles/f5v  |  Pickles 1998, PASP 110, 863
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1150.000  3.63500e-03
  1155.000  2.06300e-03
  1160.000  1.47400e-03
  1165.000  1.40300e-03
  1170.000  2.08900e-03
  1175.000  8.90000e-04
  1180.000  1.10000e-03
  1185.000  1.23700e-03
  1190.000  7.50000e-04
  1195.000  0.00000e+00
  1200.000  1.91200e-03
  1205.000  2.67400e-03
  1210.000  9.63200e-03
  1215.000  2.12890e-02
  1220.000  1.57260e-02
  1225.000  3.61800e-03
  1230.000  5.75000e-04
  1235.000  1.70000e-04
  1240.000  5.16000e-04
  1245.000  3.40000e-04
  1250.000  6.25000e-04
  1255.000  7.09000e-04
  1260.000  6.70000e-04
  1265.000  5.37000e-04
  1270.000  3.51000e-04
  1275.000  1.89000e-04
  1280.000  6.00000e-04
  1285.000  4.02000e-04
  1290.000  8.40000e-05
  1295.000  1.27000e-04
  1300.000  4.43000e-04
  1305.000  8.32000e-04
  1310.000  7.24000e-04
  1315.000  4.70000e-04
  1320.000  2.60000e-04
  1325.000  1.10000e-04
  1330.000  4.69000e-04
  1335.000  9.03000e-04
  1340.000  6.83000e-04
  1345.000  3.70000e-04
  1350.000  5.44000e-04
  1355.000  4.88000e-04
  1360.000  6.79000e-04
  1365.000  3.43000e-04
  1370.000  3.26000e-04
  1375.000  2.75000e-04
  1380.000  4.82000e-04
  1385.000  4.43000e-04
  1390.000  4.36000e-04
  1395.000  6.42000e-04
  1400.000  5.08000e-04
  1405.000  3.60000e-04
  1410.000  2.60000e-04
  1415.000  2.48000e-04
  1420.000  4.74000e-04
  1425.000  4.28000e-04
  1430.000  6.38000e-04
  1435.000  4.56000e-04
  1440.000  5.84000e-04
  1445.000  7.55000e-04
  1450.000  8.68000e-04
  1455.000  8.24000e-04
  1460.000  8.81000e-04
  1465.000  8.56000e-04
  1470.000  1.05400e-03
  1475.000  7.60000e-04
  1480.000  8.01000e-04
  1485.000  1.08600e-03
  1490.000  6.88000e-04
  1495.000  6.19000e-04
  1500.000  8.57000e-04
  1505.000  8.31000e-04
  1510.000  7.70000e-04
  1515.000  7.75000e-04
  1520.000  1.11600e-03
  1525.000  1.23200e-03
  1530.000  1.29500e-03
  1535.000  1.22300e-03
  1540.000  1.38400e-03
  1545.000  1.56700e-03
  1550.000  2.25200e-03
  1555.000  1.68700e-03
  1560.000  1.79400e-03
  1565.000  1.82100e-03
  1570.000  1.45900e-03
  1575.000  1.58800e-03
  1580.000  1.76400e-03
  1585.000  1.46100e-03
  1590.000  1.36800e-03
  1595.000  1.57300e-03
  1600.000  1.50200e-03
  1605.000  1.48200e-03
  1610.000  1.28300e-03
  1615.000  1.70800e-03
  1620.000  1.65700e-03
  1625.000  1.63200e-03
  1630.000  1.46800e-03
  1635.000  1.29500e-03
  1640.000  1.71300e-03
  1645.000  2.03800e-03
  1650.000  1.91400e-03
  1655.000  1.77400e-03
  1660.000  1.89800e-03
  1665.000  2.22600e-03
  1670.000  2.33400e-03
  1675.000  2.44900e-03
  1680.000  2.69500e-03
  1685.000  2.91900e-03
  1690.000  3.01100e-03
  1695.000  3.34800e-03
  1700.000  4.00800e-03
  1705.000  4.88000e-03
  1710.000  5.40600e-03
  1715.000  5.65700e-03
  1720.000  5.86000e-03
  1725.000  6.25800e-03
  1730.000  7.29900e-03
  1735.000  7.17400e-03
  1740.000  7.55400e-03
  1745.000  8.84800e-03
  1750.000  1.04730e-02
  1755.000  1.25010e-02
  1760.000  1.32940e-02
  1765.000  1.34250e-02
  1770.000  1.56770e-02
  1775.000  2.01490e-02
  1780.000  2.19670e-02
  1785.000  2.05050e-02
  1790.000  1.97310e-02
  1795.000  2.19300e-02
  1800.000  2.27220e-02
  1805.000  2.10190e-02
  1810.000  1.99640e-02
  1815.000  2.26940e-02
  1820.000  2.49950e-02
  1825.000  2.82360e-02
  1830.000  2.72950e-02
  1835.000  2.73100e-02
  1840.000  2.41870e-02
  1845.000  2.00820e-02
  1850.000  1.75580e-02
  1855.000  2.12950e-02
  1860.000  2.47510e-02
  1865.000  2.78320e-02
  1870.000  3.31200e-02
  1875.000  3.29540e-02
  1880.000  3.34510e-02
  1885.000  3.60700e-02
  1890.000  3.61570e-02
  1895.000  3.57240e-02
  1900.000  3.37200e-02
  1905.000  3.60740e-02
  1910.000  3.85140e-02
  1915.000  4.18380e-02
  1920.000  4.48330e-02
  1925.000  4.11960e-02
  1930.000  3.07980e-02
  1935.000  2.72280e-02
  1940.000  4.06940e-02
  1945.000  5.57120e-02
  1950.000  5.89780e-02
  1955.000  5.09030e-02
  1960.000  4.62650e-02
  1965.000  5.31600e-02
  1970.000  3.46150e-02
  1975.000  6.47340e-02
  1980.000  4.75060e-02
  1985.000  6.58850e-02
  1990.000  4.74060e-02
  1995.000  3.12150e-02
  2000.000  5.76760e-02
  2005.000  4.80030e-02
  2010.000  3.85550e-02
  2015.000  7.43200e-02
  2020.000  7.16560e-02
  2025.000  6.50060e-02
  2030.000  6.87850e-02
  2035.000  6.47580e-02
  2040.000  6.07760e-02
  2045.000  6.94310e-02
  2050.000  8.33490e-02
  2055.000  8.05280e-02
  2060.000  7.16410e-02
  2065.000  7.82310e-02
  2070.000  1.01114e-01
  2075.000  8.96700e-02
  2080.000  1.10657e-01
  2085.000  1.30941e-01
  2090.000  1.23597e-01
  2095.000  1.03636e-01
  2100.000  1.21062e-01
  2105.000  1.22430e-01
  2110.000  1.29517e-01
  2115.000  1.40884e-01
  2120.000  1.41236e-01
  2125.000  1.51000e-01
  2130.000  1.72057e-01
  2135.000  1.35861e-01
  2140.000  1.29792e-01
  2145.000  1.25561e-01
  2150.000  1.43223e-01
  2155.000  1.62731e-01
  2160.000  1.53187e-01
  2165.000  1.29064e-01
  2170.000  1.31901e-01
  2175.000  1.16925e-01
  2180.000  1.05891e-01
  2185.000  1.17032e-01
  2190.000  1.61894e-01
  2195.000  1.70484e-01
  2200.000  1.72117e-01
  2205.000  1.61817e-01
  2210.000  1.57526e-01
  2215.000  1.45223e-01
  2220.000  1.31301e-01
  2225.000  1.36992e-01
  2230.000  1.37459e-01
  2235.000  1.46119e-01
  2240.000  1.54632e-01
  2245.000  1.45280e-01
  2250.000  1.57083e-01
  2255.000  1.45402e-01
  2260.000  1.43929e-01
  2265.000  1.33613e-01
  2270.000  1.29428e-01
  2275.000  1.09914e-01
  2280.000  9.69420e-02
  2285.000  1.22665e-01
  2290.000  1.63736e-01
  2295.000  1.58075e-01
  2300.000  1.43735e-01
  2305.000  1.31046e-01
  2310.000  1.45302e-01
  2315.000  1.60893e-01
  2320.000  1.47012e-01
  2325.000  1.40769e-01
  2330.000  1.55271e-01
  2335.000  1.35626e-01
  2340.000  1.08255e-01
  2345.000  9.07590e-02
  2350.000  7.51460e-02
  2355.000  8.01730e-02
  2360.000  1.06046e-01
  2365.000  1.01891e-01
  2370.000  8.90200e-02
  2375.000  9.75900e-02
  2380.000  1.13764e-01
  2385.000  1.07211e-01
  2390.000  7.30750e-02
