# pickles/g0v  |  Pickles 1998, PASP 110, 863
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1150.000  5.56800e-03
  1155.000  6.26200e-03
  1160.000  5.13700e-03
  1165.000  3.93000e-04
  1170.000  0.00000e+00
  1175.000  0.00000e+00
  1180.000  1.37300e-03
  1185.000  9.16000e-04
  1190.000  0.00000e+00
  1195.000  0.00000e+00
  1200.000  1.07100e-03
  1205.000  3.75500e-03
  1210.000  1.59690e-02
  1215.000  2.81030e-02
  1220.000  1.72980e-02
  1225.000  2.99700e-03
  1230.000  3.90000e-04
  1235.000  4.10000e-04
  1240.000  3.59000e-04
  1245.000  2.37000e-04
  1250.000  1.83000e-04
  1255.000  1.91000e-04
  1260.000  1.84000e-04
  1265.000  0.00000e+00
  1270.000  0.00000e+00
  1275.000  9.00000e-05
  1280.000  3.33000e-04
  1285.000  3.05000e-04
  1290.000  6.10000e-05
  1295.000  5.90000e-05
  1300.000  1.83000e-04
  1305.000  0.00000e+00
  1310.000  1.38000e-04
  1315.000  2.87000e-04
  1320.000  2.18000e-04
  1325.000  1.36000e-04
  1330.000  2.10000e-04
  1335.000  1.78000e-04
  1340.000  6.40000e-05
  1345.000  8.00000e-06
  1350.000  8.60000e-05
  1355.000  1.69000e-04
  1360.000  1.96000e-04
  1365.000  2.53000e-04
  1370.000  1.48000e-04
  1375.000  2.33000e-04
  1380.000  3.04000e-04
  1385.000  2.70000e-04
  1390.000  7.40000e-05
  1395.000  2.24000e-04
  1400.000  3.19000e-04
  1405.000  4.32000e-04
  1410.000  3.59000e-04
  1415.000  9.20000e-05
  1420.000  0.00000e+00
  1425.000  1.41000e-04
  1430.000  3.02000e-04
  1435.000  2.19000e-04
  1440.000  3.76000e-04
  1445.000  7.79000e-04
  1450.000  6.19000e-04
  1455.000  3.01000e-04
  1460.000  1.40000e-04
  1465.000  1.96000e-04
  1470.000  3.60000e-04
  1475.000  4.18000e-04
  1480.000  4.17000e-04
  1485.000  3.01000e-04
  1490.000  3.21000e-04
  1495.000  3.60000e-04
  1500.000  3.56000e-04
  1505.000  3.41000e-04
  1510.000  3.38000e-04
  1515.000  3.35000e-04
  1520.000  3.00000e-04
  1525.000  3.15000e-04
  1530.000  3.85000e-04
  1535.000  4.68000e-04
  1540.000  5.08000e-04
  1545.000  7.61000e-04
  1550.000  7.39000e-04
  1555.000  4.30000e-04
  1560.000  5.47000e-04
  1565.000  5.74000e-04
  1570.000  5.71000e-04
  1575.000  6.76000e-04
  1580.000  5.15000e-04
  1585.000  5.07000e-04
  1590.000  5.36000e-04
  1595.000  3.77000e-04
  1600.000  3.07000e-04
  1605.000  4.76000e-04
  1610.000  4.53000e-04
  1615.000  2.52000e-04
  1620.000  2.05000e-04
  1625.000  3.18000e-04
