# pickles/o5v  |  Pickles 1998, PASP 110, 863
# columns: wavelength_Angstrom  flam_erg_s_cm2_A (absolute scale arbitrary - ETC renormalizes)
  1150.000  1.23542e+01
  1155.000  9.92827e+00
  1160.000  8.41075e+00
  1165.000  7.50927e+00
  1170.000  6.67068e+00
  1175.000  6.78101e+00
  1180.000  7.35798e+00
  1185.000  6.85236e+00
  1190.000  4.87226e+00
  1195.000  3.91174e+00
  1200.000  3.63570e+00
  1205.000  3.11801e+00
  1210.000  3.57418e+00
  1215.000  4.02543e+00
  1220.000  2.56877e+00
  1225.000  1.62176e+00
  1230.000  1.94699e+00
  1235.000  3.44009e+00
  1240.000  7.30493e+00
  1245.000  1.04253e+01
  1250.000  9.33257e+00
  1255.000  8.27715e+00
  1260.000  8.26959e+00
  1265.000  8.99982e+00
  1270.000  9.81699e+00
  1275.000  1.00388e+01
  1280.000  1.01574e+01
  1285.000  1.07208e+01
  1290.000  1.12710e+01
  1295.000  1.12883e+01
  1300.000  1.02135e+01
  1305.000  9.72548e+00
  1310.000  1.08010e+01
  1315.000  1.12414e+01
  1320.000  1.11438e+01
  1325.000  1.13558e+01
  1330.000  1.08126e+01
  1335.000  9.79671e+00
  1340.000  1.00364e+01
  1345.000  1.13886e+01
  1350.000  1.19428e+01
  1355.000  1.16975e+01
  1360.000  1.09393e+01
  1365.000  1.04722e+01
  1370.000  1.03869e+01
  1375.000  1.02654e+01
  1380.000  1.05941e+01
  1385.000  9.10143e+00
  1390.000  9.10622e+00
  1395.000  1.02188e+01
  1400.000  1.20305e+01
  1405.000  1.26925e+01
  1410.000  1.24659e+01
  1415.000  1.21881e+01
  1420.000  1.19726e+01
  1425.000  1.25492e+01
  1430.000  1.23810e+01
  1435.000  1.31839e+01
  1440.000  1.25887e+01
  1445.000  1.20724e+01
  1450.000  1.17455e+01
  1455.000  1.13441e+01
  1460.000  1.15581e+01
  1465.000  1.22873e+01
  1470.000  1.33422e+01
  1475.000  1.37890e+01
  1480.000  1.43738e+01
  1485.000  1.49151e+01
  1490.000  1.54055e+01
